# P(GeV)	Gamma(MeV)
0.100000	4.111120e+02
0.350000	4.102950e+02
0.600000	4.081060e+02
0.850000	4.063240e+02
1.100000	4.031420e+02
1.350000	4.021440e+02
1.600000	3.984160e+02
1.850000	3.941040e+02
2.100000	3.913480e+02
2.350000	3.822540e+02
2.600000	3.832650e+02
2.850000	3.777600e+02
3.100000	3.667950e+02
3.350000	3.637800e+02
3.600000	3.508180e+02
3.850000	3.546600e+02
4.100000	3.448660e+02
4.350000	3.365820e+02
4.600000	3.307200e+02
4.850000	3.274140e+02
5.000000	3.225510e+02
6.000000	2.907260e+02
7.000000	2.656660e+02
8.000000	2.427360e+02
9.000000	2.244570e+02
10.000000	2.091520e+02
11.000000	1.967650e+02
12.000000	1.850180e+02
13.000000	1.745230e+02
14.000000	1.681860e+02
15.000000	1.624690e+02
16.000000	1.578180e+02
17.000000	1.542080e+02
18.000000	1.489970e+02
19.000000	1.463590e+02
20.000000	1.419240e+02
