# P(GeV)	Gamma(MeV)
0.100000	5.669510e+02
0.350000	5.701351e+02
0.600000	5.750283e+02
0.850000	5.823617e+02
1.100000	5.931995e+02
1.350000	6.087599e+02
1.600000	6.194249e+02
1.850000	6.373834e+02
2.100000	6.516941e+02
2.350000	6.674356e+02
2.600000	6.935915e+02
2.850000	7.036412e+02
3.100000	7.221538e+02
3.350000	7.418318e+02
3.600000	7.585385e+02
3.850000	7.824037e+02
4.100000	7.928960e+02
4.350000	8.099125e+02
4.600000	8.202614e+02
4.850000	8.331729e+02
5.000000	8.403757e+02
6.000000	9.039235e+02
7.000000	9.231653e+02
8.000000	9.455722e+02
9.000000	9.844646e+02
10.000000	1.016089e+03
11.000000	1.023212e+03
12.000000	1.048466e+03
13.000000	1.034536e+03
14.000000	1.064761e+03
15.000000	1.129531e+03
16.000000	1.151253e+03
17.000000	1.185404e+03
18.000000	1.174242e+03
19.000000	1.193218e+03
20.000000	1.192089e+03
