# P(GeV)	Gamma(MeV)
0.100000	5.600770e+02
0.350000	5.583870e+02
0.600000	5.622050e+02
0.850000	5.612820e+02
1.100000	5.595930e+02
1.350000	5.627070e+02
1.600000	5.640080e+02
1.850000	5.607940e+02
2.100000	5.617570e+02
2.350000	5.617180e+02
2.600000	5.654890e+02
2.850000	5.672750e+02
3.100000	5.624620e+02
3.350000	5.698840e+02
3.600000	5.616310e+02
3.850000	5.627610e+02
4.100000	5.599070e+02
4.350000	5.650570e+02
4.600000	5.663630e+02
4.850000	5.649410e+02
5.000000	5.507080e+02
6.000000	5.580110e+02
7.000000	5.541910e+02
8.000000	5.425500e+02
9.000000	5.228640e+02
10.000000	5.340150e+02
11.000000	5.681880e+02
12.000000	5.512920e+02
13.000000	5.535410e+02
14.000000	5.350550e+02
15.000000	5.670300e+02
16.000000	5.966260e+02
17.000000	6.136590e+02
18.000000	6.088770e+02
19.000000	6.499480e+02
20.000000	6.628800e+02
