# P(GeV)	Gamma(MeV)
0.100000	1.608456e+03
0.350000	1.612478e+03
0.600000	1.616735e+03
0.850000	1.623856e+03
1.100000	1.632887e+03
1.350000	1.631498e+03
1.600000	1.623162e+03
1.850000	1.622464e+03
2.100000	1.626860e+03
2.350000	1.633774e+03
2.600000	1.642366e+03
2.850000	1.638169e+03
3.100000	1.625444e+03
3.350000	1.622516e+03
3.600000	1.626121e+03
3.850000	1.620481e+03
4.100000	1.608678e+03
4.350000	1.594753e+03
4.600000	1.579413e+03
4.850000	1.567218e+03
5.000000	1.561159e+03
6.000000	1.500902e+03
7.000000	1.457262e+03
8.000000	1.412092e+03
9.000000	1.364807e+03
10.000000	1.336833e+03
11.000000	1.307131e+03
12.000000	1.277430e+03
13.000000	1.255444e+03
14.000000	1.233458e+03
15.000000	1.222061e+03
16.000000	1.210665e+03
17.000000	1.201871e+03
18.000000	1.193077e+03
19.000000	1.189948e+03
20.000000	1.186819e+03
