# P(GeV)	Gamma(MeV)
0.100000	1.674850e+03
0.350000	1.682200e+03
0.600000	1.663350e+03
0.850000	1.635960e+03
1.100000	1.609240e+03
1.350000	1.586330e+03
1.600000	1.558710e+03
1.850000	1.523240e+03
2.100000	1.482000e+03
2.350000	1.437590e+03
2.600000	1.408750e+03
2.850000	1.368530e+03
3.100000	1.322000e+03
3.350000	1.278350e+03
3.600000	1.232560e+03
3.850000	1.204940e+03
4.100000	1.163210e+03
4.350000	1.147670e+03
4.600000	1.094140e+03
4.850000	1.068720e+03
5.000000	1.054880e+03
6.000000	9.444550e+02
7.000000	8.528330e+02
8.000000	7.865330e+02
9.000000	7.341980e+02
10.000000	6.888890e+02
11.000000	6.393050e+02
12.000000	6.119390e+02
13.000000	5.869770e+02
14.000000	5.576980e+02
15.000000	5.417250e+02
16.000000	5.251810e+02
17.000000	5.062700e+02
18.000000	4.917030e+02
19.000000	4.791350e+02
20.000000	4.675880e+02
