# P(GeV)	Gamma(MeV)
0.100000	2.135206e+03
0.350000	2.141804e+03
0.600000	2.146259e+03
0.850000	2.164879e+03
1.100000	2.169719e+03
1.350000	2.186095e+03
1.600000	2.209467e+03
1.850000	2.230583e+03
2.100000	2.256408e+03
2.350000	2.300760e+03
2.600000	2.321685e+03
2.850000	2.365532e+03
3.100000	2.406395e+03
3.350000	2.430058e+03
3.600000	2.474463e+03
3.850000	2.535568e+03
4.100000	2.575892e+03
4.350000	2.621171e+03
4.600000	2.651563e+03
4.850000	2.668427e+03
5.000000	2.720472e+03
6.000000	2.875837e+03
7.000000	3.023940e+03
8.000000	3.170747e+03
9.000000	3.282506e+03
10.000000	3.488723e+03
11.000000	3.558826e+03
12.000000	3.777653e+03
13.000000	3.896258e+03
14.000000	4.000894e+03
15.000000	4.097171e+03
16.000000	4.310552e+03
17.000000	4.397942e+03
18.000000	4.660364e+03
19.000000	4.987776e+03
20.000000	5.108335e+03
