# P(GeV)	Gamma(MeV)
0.100000	1.688690e+03
0.350000	1.667330e+03
0.600000	1.662880e+03
0.850000	1.644320e+03
1.100000	1.621600e+03
1.350000	1.582800e+03
1.600000	1.558280e+03
1.850000	1.527740e+03
2.100000	1.486720e+03
2.350000	1.444420e+03
2.600000	1.407850e+03
2.850000	1.359060e+03
3.100000	1.307800e+03
3.350000	1.287480e+03
3.600000	1.240690e+03
3.850000	1.201240e+03
4.100000	1.165070e+03
4.350000	1.135600e+03
4.600000	1.099070e+03
4.850000	1.063450e+03
5.000000	1.051730e+03
6.000000	9.430100e+02
7.000000	8.589010e+02
8.000000	7.862340e+02
9.000000	7.347430e+02
10.000000	6.815300e+02
11.000000	6.428350e+02
12.000000	6.112240e+02
13.000000	5.858130e+02
14.000000	5.652390e+02
15.000000	5.399080e+02
16.000000	5.252700e+02
17.000000	5.098630e+02
18.000000	4.903650e+02
19.000000	4.832540e+02
20.000000	4.685920e+02
