# E(GeV)	-Im_Tmatrix(GeV^-2)
0.000000	4.612230e-05
0.010000	4.826420e-05
0.020000	5.040600e-05
0.030000	5.254790e-05
0.040000	5.468980e-05
0.050000	5.683160e-05
0.060000	5.982710e-05
0.070000	6.307320e-05
0.080000	6.657020e-05
0.090000	7.031790e-05
0.100000	7.431630e-05
0.110000	7.839110e-05
0.120000	8.280380e-05
0.130000	8.755450e-05
0.140000	9.264320e-05
0.150000	9.806990e-05
0.160000	1.036630e-04
0.170000	1.096790e-04
0.180000	1.161200e-04
0.190000	1.229840e-04
0.200000	1.302730e-04
0.210000	1.377710e-04
0.220000	1.458000e-04
0.230000	1.543610e-04
0.240000	1.634530e-04
0.250000	1.730760e-04
0.260000	1.827880e-04
0.270000	1.932530e-04
0.280000	2.044700e-04
0.290000	2.164390e-04
0.300000	2.291610e-04
0.310000	2.421840e-04
0.320000	2.561840e-04
0.330000	2.711640e-04
0.340000	2.871220e-04
0.350000	3.040580e-04
0.360000	3.213720e-04
0.370000	3.399650e-04
0.380000	3.598370e-04
0.390000	3.809890e-04
0.400000	4.034190e-04
0.410000	4.263680e-04
0.420000	4.509760e-04
0.430000	4.772440e-04
0.440000	5.051710e-04
0.450000	5.347580e-04
0.460000	5.645820e-04
0.470000	5.967770e-04
0.480000	6.313430e-04
0.490000	6.682790e-04
0.500000	7.075870e-04
0.510000	7.478530e-04
0.520000	7.911970e-04
0.530000	8.376160e-04
0.540000	8.871130e-04
0.550000	9.396850e-04
0.560000	9.930630e-04
0.570000	1.050650e-03
0.580000	1.112450e-03
0.590000	1.178470e-03
0.600000	1.248700e-03
0.610000	1.319980e-03
0.620000	1.397050e-03
0.630000	1.479910e-03
0.640000	1.568570e-03
0.650000	1.663020e-03
0.660000	1.759090e-03
0.670000	1.863050e-03
0.680000	1.974870e-03
0.690000	2.094570e-03
0.700000	2.222150e-03
0.710000	2.351570e-03
0.720000	2.491880e-03
0.730000	2.643070e-03
0.740000	2.805160e-03
0.750000	2.978130e-03
0.760000	3.153750e-03
0.770000	3.344380e-03
0.780000	3.550020e-03
0.790000	3.770660e-03
0.800000	4.006300e-03
0.810000	4.245390e-03
0.820000	4.505270e-03
0.830000	4.785930e-03
0.840000	5.087370e-03
0.850000	5.409600e-03
0.860000	5.736940e-03
0.870000	6.092910e-03
0.880000	6.477490e-03
0.890000	6.890690e-03
0.900000	7.332500e-03
0.910000	7.778340e-03
0.920000	8.265090e-03
0.930000	8.792760e-03
0.940000	9.361340e-03
0.950000	9.970840e-03
0.960000	1.059090e-02
0.970000	1.126700e-02
0.980000	1.199920e-02
0.990000	1.278760e-02
1.000000	1.363210e-02
1.010000	1.448810e-02
1.020000	1.542250e-02
1.030000	1.643530e-02
1.040000	1.752660e-02
1.050000	1.869640e-02
1.060000	1.987540e-02
1.070000	2.116750e-02
1.080000	2.257250e-02
1.090000	2.409060e-02
1.100000	2.572170e-02
1.110000	2.738180e-02
1.120000	2.919700e-02
1.130000	3.116700e-02
1.140000	3.329210e-02
1.150000	3.557200e-02
1.160000	3.787370e-02
1.170000	4.039700e-02
1.180000	4.314180e-02
1.190000	4.610820e-02
1.200000	4.929620e-02
1.210000	5.253250e-02
1.220000	5.607710e-02
1.230000	5.992980e-02
1.240000	6.409070e-02
1.250000	6.855980e-02
1.260000	7.310090e-02
1.270000	7.806830e-02
1.280000	8.346190e-02
1.290000	8.928180e-02
1.300000	9.552780e-02
1.310000	1.018960e-01
1.320000	1.088430e-01
1.330000	1.163670e-01
1.340000	1.244700e-01
1.350000	1.331520e-01
1.360000	1.420540e-01
1.370000	1.517130e-01
1.380000	1.621290e-01
1.390000	1.733010e-01
1.400000	1.852310e-01
1.410000	1.975180e-01
1.420000	2.107610e-01
1.430000	2.249610e-01
1.440000	2.401180e-01
1.450000	2.562330e-01
1.460000	2.729620e-01
1.470000	2.908190e-01
1.480000	3.098040e-01
1.490000	3.299160e-01
1.500000	3.511570e-01
1.510000	3.733450e-01
1.520000	3.967510e-01
1.530000	4.213750e-01
1.540000	4.472160e-01
1.550000	4.742750e-01
1.560000	5.026590e-01
1.570000	5.322070e-01
1.580000	5.629180e-01
1.590000	5.947930e-01
1.600000	6.278320e-01
1.610000	6.625600e-01
1.620000	6.981890e-01
1.630000	7.347190e-01
1.640000	7.721500e-01
1.650000	8.104810e-01
1.660000	8.506370e-01
1.670000	8.912320e-01
1.680000	9.322660e-01
1.690000	9.737390e-01
1.700000	1.015650e+00
1.710000	1.059200e+00
1.720000	1.102580e+00
1.730000	1.145810e+00
1.740000	1.188880e+00
1.750000	1.231790e+00
1.760000	1.275770e+00
1.770000	1.318970e+00
1.780000	1.361410e+00
1.790000	1.403080e+00
1.800000	1.443980e+00
1.810000	1.485110e+00
1.820000	1.524970e+00
1.830000	1.563570e+00
1.840000	1.600900e+00
1.850000	1.636970e+00
1.860000	1.672380e+00
1.870000	1.706220e+00
1.880000	1.738500e+00
1.890000	1.769200e+00
1.900000	1.798340e+00
1.910000	1.826100e+00
1.920000	1.852200e+00
1.930000	1.876630e+00
1.940000	1.899400e+00
1.950000	1.920510e+00
1.960000	1.939800e+00
1.970000	1.957500e+00
1.980000	1.973610e+00
1.990000	1.988140e+00
2.000000	2.001080e+00
2.010000	2.012050e+00
2.020000	2.021620e+00
2.030000	2.029800e+00
2.040000	2.036590e+00
2.050000	2.041980e+00
2.060000	2.045480e+00
2.070000	2.047830e+00
2.080000	2.049040e+00
2.090000	2.049090e+00
2.100000	2.047990e+00
2.110000	2.045230e+00
2.120000	2.041570e+00
2.130000	2.037020e+00
2.140000	2.031570e+00
2.150000	2.025220e+00
2.160000	2.017520e+00
2.170000	2.009150e+00
2.180000	2.000110e+00
2.190000	1.990400e+00
2.200000	1.980020e+00
2.210000	1.968550e+00
2.220000	1.956610e+00
2.230000	1.944220e+00
2.240000	1.931380e+00
2.250000	1.918080e+00
2.260000	1.904020e+00
2.270000	1.889650e+00
2.280000	1.874980e+00
2.290000	1.859990e+00
2.300000	1.844710e+00
2.310000	1.828830e+00
2.320000	1.812790e+00
2.330000	1.796580e+00
2.340000	1.780210e+00
2.350000	1.763670e+00
2.360000	1.746800e+00
2.370000	1.729840e+00
2.380000	1.712810e+00
2.390000	1.695700e+00
2.400000	1.678500e+00
2.410000	1.661060e+00
2.420000	1.643630e+00
2.430000	1.626200e+00
2.440000	1.608770e+00
2.450000	1.591360e+00
2.460000	1.573860e+00
2.470000	1.556410e+00
2.480000	1.539010e+00
2.490000	1.521670e+00
2.500000	1.504370e+00
2.510000	1.487030e+00
2.520000	1.469780e+00
2.530000	1.452630e+00
2.540000	1.435580e+00
2.550000	1.418620e+00
2.560000	1.401730e+00
2.570000	1.384950e+00
2.580000	1.368280e+00
2.590000	1.351730e+00
2.600000	1.335300e+00
2.610000	1.318920e+00
2.620000	1.302690e+00
2.630000	1.286600e+00
2.640000	1.270640e+00
2.650000	1.254830e+00
2.660000	1.239140e+00
2.670000	1.223600e+00
2.680000	1.208210e+00
2.690000	1.192950e+00
2.700000	1.177840e+00
2.710000	1.162850e+00
2.720000	1.148020e+00
2.730000	1.133330e+00
2.740000	1.118790e+00
2.750000	1.104410e+00
2.760000	1.090170e+00
2.770000	1.076090e+00
2.780000	1.062150e+00
2.790000	1.048360e+00
2.800000	1.034710e+00
2.810000	1.021210e+00
2.820000	1.007860e+00
2.830000	9.946600e-01
2.840000	9.816060e-01
2.850000	9.686990e-01
2.860000	9.559500e-01
2.870000	9.433440e-01
2.880000	9.308810e-01
2.890000	9.185600e-01
2.900000	9.063830e-01
2.910000	8.943580e-01
2.920000	8.824710e-01
2.930000	8.707220e-01
2.940000	8.591110e-01
2.950000	8.476370e-01
2.960000	8.363150e-01
2.970000	8.251240e-01
2.980000	8.140640e-01
2.990000	8.031340e-01
3.000000	7.923350e-01
3.010000	7.816790e-01
3.020000	7.711470e-01
3.030000	7.607390e-01
3.040000	7.504550e-01
3.050000	7.402950e-01
3.060000	7.302720e-01
3.070000	7.203660e-01
3.080000	7.105780e-01
3.090000	7.009080e-01
3.100000	6.913560e-01
3.110000	6.819350e-01
3.120000	6.726250e-01
3.130000	6.634260e-01
3.140000	6.543360e-01
3.150000	6.453580e-01
3.160000	6.365030e-01
3.170000	6.277510e-01
3.180000	6.191040e-01
3.190000	6.105600e-01
3.200000	6.021200e-01
3.210000	5.937960e-01
3.220000	5.855690e-01
3.230000	5.774400e-01
3.240000	5.694090e-01
3.250000	5.614760e-01
3.260000	5.536520e-01
3.270000	5.459200e-01
3.280000	5.382800e-01
3.290000	5.307310e-01
3.300000	5.232750e-01
3.310000	5.159220e-01
3.320000	5.086550e-01
3.330000	5.014740e-01
3.340000	4.943790e-01
3.350000	4.873710e-01
3.360000	4.804600e-01
3.370000	4.736290e-01
3.380000	4.668800e-01
3.390000	4.602120e-01
3.400000	4.536240e-01
3.410000	4.471260e-01
3.420000	4.407040e-01
3.430000	4.343600e-01
3.440000	4.280930e-01
3.450000	4.219020e-01
3.460000	4.157990e-01
3.470000	4.097680e-01
3.480000	4.038080e-01
3.490000	3.979210e-01
3.500000	3.921060e-01
3.510000	3.863710e-01
3.520000	3.807040e-01
3.530000	3.751050e-01
3.540000	3.695750e-01
3.550000	3.641130e-01
3.560000	3.587260e-01
3.570000	3.534040e-01
3.580000	3.481470e-01
3.590000	3.429550e-01
3.600000	3.378280e-01
3.610000	3.327730e-01
3.620000	3.277790e-01
3.630000	3.228470e-01
3.640000	3.179770e-01
3.650000	3.131670e-01
3.660000	3.084260e-01
3.670000	3.037430e-01
3.680000	2.991180e-01
3.690000	2.945520e-01
3.700000	2.900440e-01
3.710000	2.856000e-01
3.720000	2.812120e-01
3.730000	2.768800e-01
3.740000	2.726030e-01
3.750000	2.683820e-01
3.760000	2.642230e-01
3.770000	2.601160e-01
3.780000	2.560620e-01
3.790000	2.520620e-01
3.800000	2.481130e-01
3.810000	2.442230e-01
3.820000	2.403830e-01
3.830000	2.365940e-01
3.840000	2.328540e-01
3.850000	2.291650e-01
3.860000	2.255310e-01
3.870000	2.219440e-01
3.880000	2.184060e-01
3.890000	2.149150e-01
3.900000	2.114730e-01
3.910000	2.080830e-01
3.920000	2.047390e-01
3.930000	2.014410e-01
3.940000	1.981880e-01
3.950000	1.949800e-01
3.960000	1.918230e-01
3.970000	1.887080e-01
3.980000	1.856370e-01
3.990000	1.826090e-01
4.000000	1.796240e-01
4.010000	1.766880e-01
4.020000	1.737920e-01
4.030000	1.709360e-01
4.040000	1.681200e-01
4.050000	1.653440e-01
4.060000	1.626060e-01
4.070000	1.599080e-01
4.080000	1.572520e-01
4.090000	1.546370e-01
4.100000	1.520640e-01
4.110000	1.495440e-01
4.120000	1.470600e-01
4.130000	1.446100e-01
4.140000	1.421960e-01
4.150000	1.398160e-01
4.160000	1.374720e-01
4.170000	1.351630e-01
4.180000	1.328880e-01
4.190000	1.306480e-01
4.200000	1.284420e-01
4.210000	1.262730e-01
4.220000	1.241370e-01
4.230000	1.220340e-01
4.240000	1.199650e-01
4.250000	1.179290e-01
4.260000	1.159340e-01
4.270000	1.139680e-01
4.280000	1.120320e-01
4.290000	1.101270e-01
4.300000	1.082510e-01
4.310000	1.064070e-01
4.320000	1.045930e-01
4.330000	1.028060e-01
4.340000	1.010480e-01
4.350000	9.931910e-02
4.360000	9.761970e-02
4.370000	9.594810e-02
4.380000	9.430430e-02
4.390000	9.268810e-02
4.400000	9.109970e-02
4.410000	8.954760e-02
4.420000	8.801900e-02
4.430000	8.651370e-02
4.440000	8.503190e-02
4.450000	8.357350e-02
4.460000	8.213780e-02
4.470000	8.072580e-02
4.480000	7.933770e-02
4.490000	7.797340e-02
4.500000	7.663290e-02
4.510000	7.531970e-02
4.520000	7.402850e-02
4.530000	7.275950e-02
4.540000	7.151250e-02
4.550000	7.028770e-02
4.560000	6.909200e-02
4.570000	6.791490e-02
4.580000	6.675640e-02
4.590000	6.561640e-02
4.600000	6.449500e-02
4.610000	6.338990e-02
4.620000	6.230450e-02
4.630000	6.123880e-02
4.640000	6.019280e-02
4.650000	5.916640e-02
4.660000	5.816660e-02
4.670000	5.718300e-02
4.680000	5.621570e-02
4.690000	5.526460e-02
4.700000	5.432980e-02
4.710000	5.341270e-02
4.720000	5.251110e-02
4.730000	5.162510e-02
4.740000	5.075450e-02
4.750000	4.989950e-02
4.760000	4.906340e-02
4.770000	4.824110e-02
4.780000	4.743270e-02
4.790000	4.663810e-02
4.800000	4.585740e-02
4.810000	4.509000e-02
4.820000	4.433680e-02
4.830000	4.359750e-02
4.840000	4.287240e-02
4.850000	4.216120e-02
4.860000	4.146980e-02
4.870000	4.078960e-02
4.880000	4.012070e-02
4.890000	3.946290e-02
4.900000	3.881640e-02
4.910000	3.818030e-02
4.920000	3.755590e-02
4.930000	3.694310e-02
4.940000	3.634180e-02
4.950000	3.575220e-02
4.960000	3.517840e-02
4.970000	3.461410e-02
4.980000	3.405930e-02
4.990000	3.351410e-02
5.000000	3.297840e-02
5.010000	3.245250e-02
5.020000	3.193600e-02
5.030000	3.142890e-02
5.040000	3.093120e-02
5.050000	3.044300e-02
5.060000	2.996670e-02
5.070000	2.949860e-02
5.080000	2.903850e-02
5.090000	2.858670e-02
5.100000	2.814290e-02
5.110000	2.770860e-02
5.120000	2.728180e-02
5.130000	2.686250e-02
5.140000	2.645060e-02
5.150000	2.604630e-02
5.160000	2.564980e-02
5.170000	2.526060e-02
5.180000	2.487860e-02
5.190000	2.450390e-02
5.200000	2.413640e-02
5.210000	2.377900e-02
5.220000	2.342740e-02
5.230000	2.308160e-02
5.240000	2.274170e-02
5.250000	2.240750e-02
5.260000	2.207840e-02
5.270000	2.175550e-02
5.280000	2.143870e-02
5.290000	2.112800e-02
5.300000	2.082350e-02
5.310000	2.052810e-02
5.320000	2.023740e-02
5.330000	1.995130e-02
5.340000	1.966980e-02
5.350000	1.939290e-02
5.360000	1.911960e-02
5.370000	1.885140e-02
5.380000	1.858840e-02
5.390000	1.833060e-02
5.400000	1.807790e-02
5.410000	1.783270e-02
5.420000	1.759150e-02
5.430000	1.735420e-02
5.440000	1.712090e-02
5.450000	1.689150e-02
5.460000	1.666640e-02
5.470000	1.644500e-02
