# E(GeV)	Re_Tmatrix(GeV^-2)
0.000000	-3.933970e+00
0.010000	-3.935700e+00
0.020000	-3.937420e+00
0.030000	-3.939140e+00
0.040000	-3.940870e+00
0.050000	-3.942590e+00
0.060000	-3.944360e+00
0.070000	-3.946150e+00
0.080000	-3.947960e+00
0.090000	-3.949790e+00
0.100000	-3.951630e+00
0.110000	-3.953500e+00
0.120000	-3.955380e+00
0.130000	-3.957290e+00
0.140000	-3.959220e+00
0.150000	-3.961170e+00
0.160000	-3.963130e+00
0.170000	-3.965120e+00
0.180000	-3.967130e+00
0.190000	-3.969170e+00
0.200000	-3.971220e+00
0.210000	-3.973300e+00
0.220000	-3.975400e+00
0.230000	-3.977520e+00
0.240000	-3.979670e+00
0.250000	-3.981850e+00
0.260000	-3.984050e+00
0.270000	-3.986270e+00
0.280000	-3.988520e+00
0.290000	-3.990800e+00
0.300000	-3.993100e+00
0.310000	-3.995430e+00
0.320000	-3.997790e+00
0.330000	-4.000170e+00
0.340000	-4.002590e+00
0.350000	-4.005040e+00
0.360000	-4.007510e+00
0.370000	-4.010010e+00
0.380000	-4.012550e+00
0.390000	-4.015120e+00
0.400000	-4.017730e+00
0.410000	-4.020360e+00
0.420000	-4.023020e+00
0.430000	-4.025730e+00
0.440000	-4.028470e+00
0.450000	-4.031250e+00
0.460000	-4.034050e+00
0.470000	-4.036900e+00
0.480000	-4.039790e+00
0.490000	-4.042730e+00
0.500000	-4.045700e+00
0.510000	-4.048700e+00
0.520000	-4.051750e+00
0.530000	-4.054850e+00
0.540000	-4.057990e+00
0.550000	-4.061180e+00
0.560000	-4.064400e+00
0.570000	-4.067680e+00
0.580000	-4.071000e+00
0.590000	-4.074380e+00
0.600000	-4.077810e+00
0.610000	-4.081280e+00
0.620000	-4.084810e+00
0.630000	-4.088400e+00
0.640000	-4.092050e+00
0.650000	-4.095750e+00
0.660000	-4.099500e+00
0.670000	-4.103310e+00
0.680000	-4.107190e+00
0.690000	-4.111140e+00
0.700000	-4.115160e+00
0.710000	-4.119220e+00
0.720000	-4.123360e+00
0.730000	-4.127580e+00
0.740000	-4.131870e+00
0.750000	-4.136240e+00
0.760000	-4.140660e+00
0.770000	-4.145170e+00
0.780000	-4.149770e+00
0.790000	-4.154460e+00
0.800000	-4.159230e+00
0.810000	-4.164060e+00
0.820000	-4.168990e+00
0.830000	-4.174030e+00
0.840000	-4.179160e+00
0.850000	-4.184400e+00
0.860000	-4.189700e+00
0.870000	-4.195130e+00
0.880000	-4.200670e+00
0.890000	-4.206330e+00
0.900000	-4.212100e+00
0.910000	-4.217950e+00
0.920000	-4.223940e+00
0.930000	-4.230060e+00
0.940000	-4.236320e+00
0.950000	-4.242720e+00
0.960000	-4.249200e+00
0.970000	-4.255850e+00
0.980000	-4.262650e+00
0.990000	-4.269610e+00
1.000000	-4.276730e+00
1.010000	-4.283950e+00
1.020000	-4.291350e+00
1.030000	-4.298940e+00
1.040000	-4.306710e+00
1.050000	-4.314660e+00
1.060000	-4.322740e+00
1.070000	-4.331030e+00
1.080000	-4.339540e+00
1.090000	-4.348260e+00
1.100000	-4.357190e+00
1.110000	-4.366270e+00
1.120000	-4.375590e+00
1.130000	-4.385150e+00
1.140000	-4.394960e+00
1.150000	-4.405010e+00
1.160000	-4.415240e+00
1.170000	-4.425740e+00
1.180000	-4.436520e+00
1.190000	-4.447570e+00
1.200000	-4.458900e+00
1.210000	-4.470470e+00
1.220000	-4.482330e+00
1.230000	-4.494490e+00
1.240000	-4.506950e+00
1.250000	-4.519710e+00
1.260000	-4.532750e+00
1.270000	-4.546100e+00
1.280000	-4.559770e+00
1.290000	-4.573740e+00
1.300000	-4.588030e+00
1.310000	-4.602660e+00
1.320000	-4.617590e+00
1.330000	-4.632810e+00
1.340000	-4.648320e+00
1.350000	-4.664120e+00
1.360000	-4.680380e+00
1.370000	-4.696840e+00
1.380000	-4.713510e+00
1.390000	-4.730400e+00
1.400000	-4.747490e+00
1.410000	-4.765060e+00
1.420000	-4.782700e+00
1.430000	-4.800430e+00
1.440000	-4.818230e+00
1.450000	-4.836100e+00
1.460000	-4.854620e+00
1.470000	-4.872930e+00
1.480000	-4.891040e+00
1.490000	-4.908950e+00
1.500000	-4.926650e+00
1.510000	-4.944880e+00
1.520000	-4.962540e+00
1.530000	-4.979640e+00
1.540000	-4.996170e+00
1.550000	-5.012130e+00
1.560000	-5.028420e+00
1.570000	-5.043700e+00
1.580000	-5.057960e+00
1.590000	-5.071200e+00
1.600000	-5.083430e+00
1.610000	-5.095560e+00
1.620000	-5.106210e+00
1.630000	-5.115390e+00
1.640000	-5.123100e+00
1.650000	-5.129330e+00
1.660000	-5.134780e+00
1.670000	-5.138410e+00
1.680000	-5.140230e+00
1.690000	-5.140240e+00
1.700000	-5.138440e+00
1.710000	-5.135100e+00
1.720000	-5.129820e+00
1.730000	-5.122580e+00
1.740000	-5.113400e+00
1.750000	-5.102270e+00
1.760000	-5.088950e+00
1.770000	-5.073800e+00
1.780000	-5.056820e+00
1.790000	-5.038020e+00
1.800000	-5.017400e+00
1.810000	-4.994260e+00
1.820000	-4.969640e+00
1.830000	-4.943550e+00
1.840000	-4.915980e+00
1.850000	-4.886930e+00
1.860000	-4.855450e+00
1.870000	-4.822980e+00
1.880000	-4.789510e+00
1.890000	-4.755040e+00
1.900000	-4.719580e+00
1.910000	-4.682110e+00
1.920000	-4.644150e+00
1.930000	-4.605710e+00
1.940000	-4.566780e+00
1.950000	-4.527370e+00
1.960000	-4.486560e+00
1.970000	-4.445720e+00
1.980000	-4.404860e+00
1.990000	-4.363960e+00
2.000000	-4.323030e+00
2.010000	-4.281370e+00
2.020000	-4.240030e+00
2.030000	-4.199000e+00
2.040000	-4.158300e+00
2.050000	-4.117920e+00
2.060000	-4.077380e+00
2.070000	-4.037390e+00
2.080000	-3.997970e+00
2.090000	-3.959090e+00
2.100000	-3.920770e+00
2.110000	-3.882740e+00
2.120000	-3.845390e+00
2.130000	-3.808730e+00
2.140000	-3.772770e+00
2.150000	-3.737490e+00
2.160000	-3.702790e+00
2.170000	-3.668840e+00
2.180000	-3.635630e+00
2.190000	-3.603170e+00
2.200000	-3.571460e+00
2.210000	-3.540480e+00
2.220000	-3.510250e+00
2.230000	-3.480770e+00
2.240000	-3.452040e+00
2.250000	-3.424060e+00
2.260000	-3.396880e+00
2.270000	-3.370420e+00
2.280000	-3.344670e+00
2.290000	-3.319640e+00
2.300000	-3.295330e+00
2.310000	-3.271860e+00
2.320000	-3.249040e+00
2.330000	-3.226880e+00
2.340000	-3.205370e+00
2.350000	-3.184530e+00
2.360000	-3.164440e+00
2.370000	-3.144960e+00
2.380000	-3.126090e+00
2.390000	-3.107810e+00
2.400000	-3.090140e+00
2.410000	-3.073210e+00
2.420000	-3.056820e+00
2.430000	-3.040950e+00
2.440000	-3.025610e+00
2.450000	-3.010810e+00
2.460000	-2.996640e+00
2.470000	-2.982950e+00
2.480000	-2.969730e+00
2.490000	-2.956980e+00
2.500000	-2.944710e+00
2.510000	-2.933050e+00
2.520000	-2.921800e+00
2.530000	-2.910950e+00
2.540000	-2.900510e+00
2.550000	-2.890470e+00
2.560000	-2.880940e+00
2.570000	-2.871760e+00
2.580000	-2.862950e+00
2.590000	-2.854500e+00
2.600000	-2.846400e+00
2.610000	-2.838790e+00
2.620000	-2.831470e+00
2.630000	-2.824460e+00
2.640000	-2.817750e+00
2.650000	-2.811350e+00
2.660000	-2.805320e+00
2.670000	-2.799560e+00
2.680000	-2.794070e+00
2.690000	-2.788840e+00
2.700000	-2.783870e+00
2.710000	-2.779260e+00
2.720000	-2.774870e+00
2.730000	-2.770710e+00
2.740000	-2.766770e+00
2.750000	-2.763060e+00
2.760000	-2.759640e+00
2.770000	-2.756410e+00
2.780000	-2.753370e+00
2.790000	-2.750530e+00
2.800000	-2.747870e+00
2.810000	-2.745470e+00
2.820000	-2.743230e+00
2.830000	-2.741160e+00
2.840000	-2.739250e+00
2.850000	-2.737510e+00
2.860000	-2.735990e+00
2.870000	-2.734600e+00
2.880000	-2.733360e+00
2.890000	-2.732250e+00
2.900000	-2.731280e+00
2.910000	-2.730490e+00
2.920000	-2.729820e+00
2.930000	-2.729260e+00
2.940000	-2.728830e+00
2.950000	-2.728510e+00
2.960000	-2.728350e+00
2.970000	-2.728280e+00
2.980000	-2.728320e+00
2.990000	-2.728460e+00
3.000000	-2.728690e+00
3.010000	-2.729050e+00
3.020000	-2.729490e+00
3.030000	-2.730020e+00
3.040000	-2.730640e+00
3.050000	-2.731330e+00
3.060000	-2.732140e+00
3.070000	-2.733030e+00
3.080000	-2.733980e+00
3.090000	-2.735000e+00
3.100000	-2.736090e+00
3.110000	-2.737280e+00
3.120000	-2.738520e+00
3.130000	-2.739830e+00
3.140000	-2.741190e+00
3.150000	-2.742610e+00
3.160000	-2.744110e+00
