# E(GeV)	-Im_Tmatrix(GeV^-2)
0.000000	1.777270e-21
0.010000	9.143480e-07
0.020000	1.828700e-06
0.030000	2.743040e-06
0.040000	3.657390e-06
0.050000	4.571740e-06
0.060000	5.681600e-06
0.070000	6.944660e-06
0.080000	8.360930e-06
0.090000	9.930410e-06
0.100000	1.165310e-05
0.110000	1.335680e-05
0.120000	1.529980e-05
0.130000	1.748210e-05
0.140000	1.990370e-05
0.150000	2.256460e-05
0.160000	2.519090e-05
0.170000	2.819340e-05
0.180000	3.157220e-05
0.190000	3.532720e-05
0.200000	3.945860e-05
0.210000	4.354590e-05
0.220000	4.821970e-05
0.230000	5.347980e-05
0.240000	5.932640e-05
0.250000	6.575940e-05
0.260000	7.213680e-05
0.270000	7.942160e-05
0.280000	8.761380e-05
0.290000	9.671350e-05
0.300000	1.067200e-04
0.310000	1.167250e-04
0.320000	1.280910e-04
0.330000	1.408200e-04
0.340000	1.549120e-04
0.350000	1.703660e-04
0.360000	1.858240e-04
0.370000	2.033230e-04
0.380000	2.228650e-04
0.390000	2.444490e-04
0.400000	2.680750e-04
0.410000	2.916640e-04
0.420000	3.183340e-04
0.430000	3.480870e-04
0.440000	3.809220e-04
0.450000	4.168400e-04
0.460000	4.528460e-04
0.470000	4.934310e-04
0.480000	5.385950e-04
0.490000	5.883380e-04
0.500000	6.426600e-04
0.510000	6.973380e-04
0.520000	7.587060e-04
0.530000	8.267660e-04
0.540000	9.015160e-04
0.550000	9.829570e-04
0.560000	1.064860e-03
0.570000	1.156570e-03
0.580000	1.258090e-03
0.590000	1.369410e-03
0.600000	1.490530e-03
0.610000	1.612540e-03
0.620000	1.748810e-03
0.630000	1.899350e-03
0.640000	2.064140e-03
0.650000	2.243190e-03
0.660000	2.423010e-03
0.670000	2.623840e-03
0.680000	2.845670e-03
0.690000	3.088510e-03
0.700000	3.352350e-03
0.710000	3.617070e-03
0.720000	3.912860e-03
0.730000	4.239710e-03
0.740000	4.597630e-03
0.750000	4.986620e-03
0.760000	5.375060e-03
