# E(GeV)	Re_Tmatrix(GeV^-2)
0.000000	-3.361380e+00
0.010000	-3.362330e+00
0.020000	-3.363270e+00
0.030000	-3.364220e+00
0.040000	-3.365170e+00
0.050000	-3.366120e+00
0.060000	-3.367100e+00
0.070000	-3.368090e+00
0.080000	-3.369090e+00
0.090000	-3.370110e+00
0.100000	-3.371130e+00
0.110000	-3.372170e+00
0.120000	-3.373220e+00
0.130000	-3.374280e+00
0.140000	-3.375350e+00
0.150000	-3.376430e+00
0.160000	-3.377500e+00
0.170000	-3.378600e+00
0.180000	-3.379710e+00
0.190000	-3.380830e+00
0.200000	-3.381980e+00
0.210000	-3.383150e+00
0.220000	-3.384330e+00
0.230000	-3.385520e+00
0.240000	-3.386730e+00
0.250000	-3.387960e+00
0.260000	-3.389190e+00
0.270000	-3.390450e+00
0.280000	-3.391710e+00
0.290000	-3.393000e+00
0.300000	-3.394300e+00
0.310000	-3.395610e+00
0.320000	-3.396940e+00
0.330000	-3.398290e+00
0.340000	-3.399650e+00
0.350000	-3.401040e+00
0.360000	-3.402440e+00
0.370000	-3.403860e+00
0.380000	-3.405300e+00
0.390000	-3.406760e+00
0.400000	-3.408250e+00
0.410000	-3.409740e+00
0.420000	-3.411260e+00
0.430000	-3.412810e+00
0.440000	-3.414380e+00
0.450000	-3.415970e+00
0.460000	-3.417570e+00
0.470000	-3.419210e+00
0.480000	-3.420870e+00
0.490000	-3.422560e+00
0.500000	-3.424270e+00
0.510000	-3.426000e+00
0.520000	-3.427760e+00
0.530000	-3.429550e+00
0.540000	-3.431370e+00
0.550000	-3.433230e+00
0.560000	-3.435150e+00
0.570000	-3.437080e+00
0.580000	-3.439020e+00
0.590000	-3.440970e+00
0.600000	-3.442930e+00
0.610000	-3.444750e+00
0.620000	-3.446650e+00
0.630000	-3.448640e+00
0.640000	-3.450710e+00
0.650000	-3.452880e+00
0.660000	-3.455250e+00
0.670000	-3.457650e+00
0.680000	-3.460070e+00
0.690000	-3.462510e+00
0.700000	-3.464980e+00
0.710000	-3.467410e+00
0.720000	-3.469890e+00
0.730000	-3.472430e+00
0.740000	-3.475010e+00
0.750000	-3.477650e+00
0.760000	-3.480470e+00
0.770000	-3.483280e+00
0.780000	-3.486070e+00
0.790000	-3.488840e+00
0.800000	-3.491600e+00
0.810000	-3.493850e+00
0.820000	-3.496330e+00
0.830000	-3.499030e+00
0.840000	-3.501960e+00
0.850000	-3.505120e+00
0.860000	-3.508940e+00
0.870000	-3.512770e+00
0.880000	-3.516600e+00
0.890000	-3.520440e+00
0.900000	-3.524280e+00
0.910000	-3.527940e+00
0.920000	-3.531700e+00
0.930000	-3.535550e+00
0.940000	-3.539500e+00
0.950000	-3.543550e+00
0.960000	-3.547670e+00
0.970000	-3.551890e+00
0.980000	-3.556230e+00
0.990000	-3.560670e+00
1.000000	-3.565230e+00
1.010000	-3.569870e+00
1.020000	-3.574630e+00
1.030000	-3.579530e+00
1.040000	-3.584540e+00
1.050000	-3.589690e+00
1.060000	-3.594930e+00
1.070000	-3.600320e+00
1.080000	-3.605840e+00
1.090000	-3.611510e+00
1.100000	-3.617310e+00
1.110000	-3.623250e+00
1.120000	-3.629330e+00
1.130000	-3.635550e+00
1.140000	-3.641930e+00
1.150000	-3.648460e+00
1.160000	-3.655140e+00
1.170000	-3.661970e+00
1.180000	-3.668940e+00
1.190000	-3.676050e+00
1.200000	-3.683300e+00
1.210000	-3.690760e+00
1.220000	-3.698320e+00
1.230000	-3.706010e+00
1.240000	-3.713810e+00
1.250000	-3.721730e+00
1.260000	-3.729880e+00
1.270000	-3.738090e+00
1.280000	-3.746360e+00
1.290000	-3.754690e+00
1.300000	-3.763080e+00
1.310000	-3.771720e+00
1.320000	-3.780320e+00
1.330000	-3.788880e+00
1.340000	-3.797410e+00
1.350000	-3.805890e+00
1.360000	-3.814600e+00
1.370000	-3.823140e+00
1.380000	-3.831510e+00
1.390000	-3.839720e+00
1.400000	-3.847760e+00
1.410000	-3.855960e+00
1.420000	-3.863830e+00
1.430000	-3.871370e+00
1.440000	-3.878590e+00
1.450000	-3.885490e+00
1.460000	-3.892380e+00
1.470000	-3.898790e+00
1.480000	-3.904710e+00
1.490000	-3.910150e+00
1.500000	-3.915110e+00
1.510000	-3.919860e+00
1.520000	-3.923990e+00
1.530000	-3.927500e+00
1.540000	-3.930380e+00
