# E(GeV)	-Im_Tmatrix(GeV^-2)
0.000000	3.600630e-04
0.010000	3.742900e-04
0.020000	3.885170e-04
0.030000	4.027440e-04
0.040000	4.169710e-04
0.050000	4.311980e-04
0.060000	4.515090e-04
0.070000	4.731170e-04
0.080000	4.960210e-04
0.090000	5.202220e-04
0.100000	5.457200e-04
0.110000	5.719090e-04
0.120000	5.996970e-04
0.130000	6.290840e-04
0.140000	6.600700e-04
0.150000	6.926560e-04
0.160000	7.257410e-04
0.170000	7.609750e-04
0.180000	7.983580e-04
0.190000	8.378890e-04
0.200000	8.795700e-04
0.210000	9.224040e-04
0.220000	9.678840e-04
0.230000	1.016010e-03
0.240000	1.066780e-03
0.250000	1.120200e-03
0.260000	1.176000e-03
0.270000	1.234570e-03
0.280000	1.295930e-03
0.290000	1.360080e-03
0.300000	1.427000e-03
0.310000	1.493360e-03
0.320000	1.564170e-03
0.330000	1.639450e-03
0.340000	1.719190e-03
0.350000	1.803400e-03
0.360000	1.889980e-03
0.370000	1.982060e-03
0.380000	2.079650e-03
0.390000	2.182750e-03
0.400000	2.291350e-03
0.410000	2.402030e-03
0.420000	2.519920e-03
0.430000	2.645050e-03
0.440000	2.777400e-03
0.450000	2.916970e-03
0.460000	3.058170e-03
0.470000	3.209400e-03
0.480000	3.370650e-03
0.490000	3.541930e-03
0.500000	3.723230e-03
0.510000	3.907600e-03
0.520000	4.105470e-03
0.530000	4.316840e-03
0.540000	4.541710e-03
0.550000	4.780090e-03
0.560000	5.022450e-03
0.570000	5.283070e-03
0.580000	5.561950e-03
0.590000	5.859080e-03
0.600000	6.174480e-03
0.610000	6.493170e-03
0.620000	6.837600e-03
0.630000	7.207770e-03
0.640000	7.603670e-03
0.650000	8.025320e-03
0.660000	8.453210e-03
0.670000	8.916590e-03
0.680000	9.415450e-03
0.690000	9.949790e-03
0.700000	1.051960e-02
0.710000	1.109460e-02
0.720000	1.172030e-02
0.730000	1.239650e-02
0.740000	1.312340e-02
0.750000	1.390100e-02
0.760000	1.468880e-02
0.770000	1.554740e-02
0.780000	1.647690e-02
0.790000	1.747710e-02
0.800000	1.854820e-02
0.810000	1.963140e-02
0.820000	2.081480e-02
0.830000	2.209830e-02
0.840000	2.348210e-02
0.850000	2.496610e-02
0.860000	2.644480e-02
0.870000	2.807640e-02
0.880000	2.986090e-02
0.890000	3.179840e-02
0.900000	3.388880e-02
0.910000	3.600970e-02
0.920000	3.834480e-02
0.930000	4.089400e-02
0.940000	4.365740e-02
0.950000	4.663490e-02
0.960000	4.960690e-02
0.970000	5.290290e-02
0.980000	5.652300e-02
0.990000	6.046720e-02
1.000000	6.473540e-02
1.010000	6.902920e-02
1.020000	7.379630e-02
1.030000	7.903670e-02
1.040000	8.475040e-02
1.050000	9.093730e-02
1.060000	9.714210e-02
1.070000	1.040480e-01
1.080000	1.116550e-01
1.090000	1.199630e-01
1.100000	1.289720e-01
1.110000	1.380720e-01
1.120000	1.481780e-01
1.130000	1.592900e-01
1.140000	1.714080e-01
1.150000	1.845330e-01
1.160000	1.979040e-01
1.170000	2.126610e-01
1.180000	2.288040e-01
1.190000	2.463330e-01
1.200000	2.652470e-01
1.210000	2.846840e-01
1.220000	3.059380e-01
1.230000	3.290090e-01
1.240000	3.538970e-01
1.250000	3.806020e-01
1.260000	4.084620e-01
1.270000	4.384700e-01
1.280000	4.706260e-01
1.290000	5.049290e-01
1.300000	5.413790e-01
1.310000	5.798100e-01
1.320000	6.204730e-01
1.330000	6.633660e-01
1.340000	7.084910e-01
1.350000	7.558470e-01
1.360000	8.060770e-01
1.370000	8.582170e-01
1.380000	9.122670e-01
1.390000	9.682270e-01
1.400000	1.026100e+00
1.410000	1.087460e+00
1.420000	1.149940e+00
1.430000	1.213540e+00
1.440000	1.278260e+00
1.450000	1.344100e+00
1.460000	1.413140e+00
1.470000	1.482270e+00
1.480000	1.551470e+00
1.490000	1.620760e+00
1.500000	1.690130e+00
1.510000	1.761760e+00
1.520000	1.832380e+00
1.530000	1.902000e+00
1.540000	1.970610e+00
1.550000	2.038210e+00
1.560000	2.106530e+00
1.570000	2.172980e+00
1.580000	2.237560e+00
1.590000	2.300280e+00
1.600000	2.361130e+00
1.610000	2.421110e+00
1.620000	2.478730e+00
1.630000	2.533980e+00
1.640000	2.586870e+00
1.650000	2.637400e+00
1.660000	2.685890e+00
1.670000	2.731850e+00
1.680000	2.775290e+00
1.690000	2.816210e+00
1.700000	2.854600e+00
1.710000	2.890240e+00
1.720000	2.923480e+00
1.730000	2.954310e+00
1.740000	2.982730e+00
1.750000	3.008750e+00
1.760000	3.031790e+00
1.770000	3.052710e+00
1.780000	3.071510e+00
1.790000	3.088200e+00
1.800000	3.102760e+00
1.810000	3.114500e+00
1.820000	3.124470e+00
1.830000	3.132670e+00
1.840000	3.139100e+00
1.850000	3.143760e+00
1.860000	3.145950e+00
1.870000	3.146720e+00
1.880000	3.146080e+00
1.890000	3.144020e+00
1.900000	3.140540e+00
1.910000	3.134980e+00
1.920000	3.128340e+00
1.930000	3.120620e+00
1.940000	3.111810e+00
1.950000	3.101930e+00
1.960000	3.090390e+00
1.970000	3.078050e+00
1.980000	3.064920e+00
1.990000	3.050990e+00
2.000000	3.036260e+00
2.010000	3.020250e+00
2.020000	3.003690e+00
2.030000	2.986570e+00
2.040000	2.968880e+00
2.050000	2.950640e+00
2.060000	2.931450e+00
2.070000	2.911890e+00
2.080000	2.891960e+00
2.090000	2.871660e+00
2.100000	2.850990e+00
2.110000	2.829640e+00
2.120000	2.808080e+00
2.130000	2.786290e+00
2.140000	2.764290e+00
2.150000	2.742080e+00
2.160000	2.719410e+00
2.170000	2.696640e+00
2.180000	2.673770e+00
2.190000	2.650800e+00
2.200000	2.627720e+00
2.210000	2.604390e+00
2.220000	2.581030e+00
2.230000	2.557640e+00
2.240000	2.534230e+00
2.250000	2.510800e+00
2.260000	2.487160e+00
2.270000	2.463580e+00
2.280000	2.440070e+00
2.290000	2.416630e+00
2.300000	2.393250e+00
2.310000	2.369890e+00
2.320000	2.346620e+00
2.330000	2.323450e+00
2.340000	2.300360e+00
2.350000	2.277370e+00
2.360000	2.254380e+00
2.370000	2.231530e+00
2.380000	2.208820e+00
2.390000	2.186250e+00
2.400000	2.163810e+00
2.410000	2.141470e+00
2.420000	2.119280e+00
2.430000	2.097270e+00
2.440000	2.075410e+00
2.450000	2.053720e+00
2.460000	2.032150e+00
2.470000	2.010770e+00
2.480000	1.989570e+00
2.490000	1.968560e+00
2.500000	1.947740e+00
2.510000	1.927070e+00
2.520000	1.906600e+00
2.530000	1.886330e+00
2.540000	1.866260e+00
2.550000	1.846390e+00
2.560000	1.826690e+00
2.570000	1.807210e+00
2.580000	1.787930e+00
2.590000	1.768850e+00
2.600000	1.749990e+00
2.610000	1.731320e+00
2.620000	1.712870e+00
2.630000	1.694620e+00
2.640000	1.676590e+00
2.650000	1.658760e+00
2.660000	1.641140e+00
2.670000	1.623730e+00
2.680000	1.606540e+00
2.690000	1.589550e+00
2.700000	1.572780e+00
2.710000	1.556220e+00
2.720000	1.539880e+00
2.730000	1.523740e+00
2.740000	1.507800e+00
2.750000	1.492080e+00
2.760000	1.476560e+00
2.770000	1.461260e+00
2.780000	1.446150e+00
2.790000	1.431240e+00
2.800000	1.416540e+00
2.810000	1.402050e+00
2.820000	1.387750e+00
2.830000	1.373650e+00
2.840000	1.359750e+00
2.850000	1.346040e+00
2.860000	1.332550e+00
2.870000	1.319250e+00
2.880000	1.306130e+00
2.890000	1.293190e+00
2.900000	1.280440e+00
2.910000	1.267890e+00
2.920000	1.255520e+00
2.930000	1.243320e+00
2.940000	1.231300e+00
2.950000	1.219450e+00
2.960000	1.207810e+00
2.970000	1.196320e+00
2.980000	1.185000e+00
2.990000	1.173850e+00
3.000000	1.162850e+00
3.010000	1.152050e+00
3.020000	1.141400e+00
3.030000	1.130900e+00
3.040000	1.120550e+00
3.050000	1.110350e+00
3.060000	1.100330e+00
3.070000	1.090440e+00
3.080000	1.080700e+00
3.090000	1.071090e+00
3.100000	1.061620e+00
3.110000	1.052320e+00
3.120000	1.043140e+00
3.130000	1.034090e+00
3.140000	1.025160e+00
3.150000	1.016370e+00
3.160000	1.007720e+00
3.170000	9.991870e-01
3.180000	9.907690e-01
3.190000	9.824660e-01
3.200000	9.742760e-01
3.210000	9.662270e-01
3.220000	9.582790e-01
3.230000	9.504320e-01
3.240000	9.426850e-01
3.250000	9.350390e-01
3.260000	9.275130e-01
3.270000	9.200780e-01
3.280000	9.127330e-01
3.290000	9.054790e-01
3.300000	8.983150e-01
3.310000	8.912650e-01
3.320000	8.842930e-01
3.330000	8.774000e-01
3.340000	8.705870e-01
3.350000	8.638520e-01
3.360000	8.572170e-01
3.370000	8.506500e-01
3.380000	8.441520e-01
3.390000	8.377220e-01
3.400000	8.313610e-01
3.410000	8.250860e-01
3.420000	8.188700e-01
3.430000	8.127140e-01
3.440000	8.066170e-01
3.450000	8.005800e-01
3.460000	7.946180e-01
3.470000	7.887080e-01
3.480000	7.828490e-01
3.490000	7.770420e-01
3.500000	7.712870e-01
3.510000	7.656000e-01
3.520000	7.599560e-01
3.530000	7.543560e-01
3.540000	7.488000e-01
3.550000	7.432880e-01
3.560000	7.378310e-01
3.570000	7.324120e-01
3.580000	7.270320e-01
3.590000	7.216900e-01
3.600000	7.163870e-01
3.610000	7.111330e-01
3.620000	7.059120e-01
