# E(GeV)	Re_Tmatrix(GeV^-2)
0.000000	-9.854100e+00
0.010000	-9.860110e+00
0.020000	-9.866120e+00
0.030000	-9.872120e+00
0.040000	-9.878130e+00
0.050000	-9.884140e+00
0.060000	-9.890310e+00
0.070000	-9.896550e+00
0.080000	-9.902840e+00
0.090000	-9.909200e+00
0.100000	-9.915630e+00
0.110000	-9.922100e+00
0.120000	-9.928650e+00
0.130000	-9.935260e+00
0.140000	-9.941930e+00
0.150000	-9.948680e+00
0.160000	-9.955480e+00
0.170000	-9.962350e+00
0.180000	-9.969300e+00
0.190000	-9.976320e+00
0.200000	-9.983420e+00
0.210000	-9.990570e+00
0.220000	-9.997810e+00
0.230000	-1.000510e+01
0.240000	-1.001250e+01
0.250000	-1.002000e+01
0.260000	-1.002750e+01
0.270000	-1.003520e+01
0.280000	-1.004290e+01
0.290000	-1.005070e+01
0.300000	-1.005850e+01
0.310000	-1.006650e+01
0.320000	-1.007450e+01
0.330000	-1.008270e+01
0.340000	-1.009090e+01
0.350000	-1.009930e+01
0.360000	-1.010770e+01
0.370000	-1.011620e+01
0.380000	-1.012480e+01
0.390000	-1.013350e+01
0.400000	-1.014230e+01
0.410000	-1.015120e+01
0.420000	-1.016020e+01
0.430000	-1.016940e+01
0.440000	-1.017860e+01
0.450000	-1.018800e+01
0.460000	-1.019740e+01
0.470000	-1.020700e+01
0.480000	-1.021670e+01
0.490000	-1.022650e+01
0.500000	-1.023640e+01
0.510000	-1.024650e+01
0.520000	-1.025670e+01
0.530000	-1.026700e+01
0.540000	-1.027740e+01
0.550000	-1.028800e+01
0.560000	-1.029840e+01
0.570000	-1.030910e+01
0.580000	-1.032020e+01
0.590000	-1.033150e+01
0.600000	-1.034310e+01
0.610000	-1.035590e+01
0.620000	-1.036860e+01
0.630000	-1.038120e+01
0.640000	-1.039360e+01
0.650000	-1.040590e+01
0.660000	-1.041700e+01
0.670000	-1.042850e+01
0.680000	-1.044030e+01
0.690000	-1.045250e+01
0.700000	-1.046510e+01
0.710000	-1.047820e+01
0.720000	-1.049160e+01
0.730000	-1.050520e+01
0.740000	-1.051900e+01
0.750000	-1.053310e+01
0.760000	-1.054730e+01
0.770000	-1.056170e+01
0.780000	-1.057640e+01
0.790000	-1.059130e+01
0.800000	-1.060650e+01
0.810000	-1.062180e+01
0.820000	-1.063750e+01
0.830000	-1.065340e+01
0.840000	-1.066950e+01
0.850000	-1.068600e+01
0.860000	-1.070270e+01
0.870000	-1.071960e+01
0.880000	-1.073690e+01
0.890000	-1.075460e+01
0.900000	-1.077250e+01
0.910000	-1.079070e+01
0.920000	-1.080920e+01
0.930000	-1.082820e+01
0.940000	-1.084740e+01
0.950000	-1.086710e+01
0.960000	-1.088700e+01
0.970000	-1.090740e+01
0.980000	-1.092820e+01
0.990000	-1.094940e+01
1.000000	-1.097100e+01
1.010000	-1.099290e+01
1.020000	-1.101520e+01
1.030000	-1.103810e+01
1.040000	-1.106150e+01
1.050000	-1.108550e+01
1.060000	-1.110980e+01
1.070000	-1.113470e+01
1.080000	-1.116030e+01
1.090000	-1.118640e+01
1.100000	-1.121310e+01
1.110000	-1.124010e+01
1.120000	-1.126790e+01
1.130000	-1.129640e+01
1.140000	-1.132560e+01
1.150000	-1.135560e+01
1.160000	-1.138590e+01
1.170000	-1.141720e+01
1.180000	-1.144930e+01
1.190000	-1.148220e+01
1.200000	-1.151600e+01
1.210000	-1.155030e+01
1.220000	-1.158560e+01
1.230000	-1.162200e+01
1.240000	-1.165940e+01
1.250000	-1.169790e+01
1.260000	-1.173720e+01
1.270000	-1.177760e+01
1.280000	-1.181930e+01
1.290000	-1.186220e+01
1.300000	-1.190630e+01
1.310000	-1.195100e+01
1.320000	-1.199720e+01
1.330000	-1.204500e+01
1.340000	-1.209430e+01
1.350000	-1.214520e+01
1.360000	-1.219700e+01
1.370000	-1.225060e+01
1.380000	-1.230610e+01
1.390000	-1.236340e+01
1.400000	-1.242260e+01
1.410000	-1.248290e+01
1.420000	-1.254540e+01
1.430000	-1.261010e+01
1.440000	-1.267690e+01
1.450000	-1.274590e+01
1.460000	-1.281650e+01
1.470000	-1.288950e+01
1.480000	-1.296500e+01
1.490000	-1.304290e+01
1.500000	-1.312330e+01
1.510000	-1.320570e+01
1.520000	-1.329070e+01
1.530000	-1.337840e+01
1.540000	-1.346880e+01
1.550000	-1.356170e+01
1.560000	-1.365770e+01
1.570000	-1.375610e+01
1.580000	-1.385700e+01
1.590000	-1.396030e+01
1.600000	-1.406600e+01
1.610000	-1.417610e+01
1.620000	-1.428760e+01
1.630000	-1.440070e+01
1.640000	-1.451520e+01
1.650000	-1.463130e+01
1.660000	-1.475320e+01
1.670000	-1.487440e+01
1.680000	-1.499490e+01
1.690000	-1.511480e+01
1.700000	-1.523390e+01
1.710000	-1.536070e+01
1.720000	-1.548260e+01
1.730000	-1.559970e+01
1.740000	-1.571190e+01
1.750000	-1.581930e+01
1.760000	-1.593430e+01
1.770000	-1.603820e+01
1.780000	-1.613100e+01
1.790000	-1.621250e+01
1.800000	-1.628290e+01
1.810000	-1.635670e+01
1.820000	-1.641200e+01
1.830000	-1.644880e+01
1.840000	-1.646720e+01
1.850000	-1.646720e+01
1.860000	-1.645880e+01
1.870000	-1.642690e+01
1.880000	-1.637150e+01
1.890000	-1.629260e+01
1.900000	-1.619020e+01
1.910000	-1.606210e+01
1.920000	-1.591150e+01
1.930000	-1.573860e+01
1.940000	-1.554320e+01
1.950000	-1.532550e+01
1.960000	-1.506830e+01
1.970000	-1.479720e+01
1.980000	-1.451230e+01
1.990000	-1.421350e+01
2.000000	-1.390080e+01
2.010000	-1.355040e+01
2.020000	-1.319810e+01
2.030000	-1.284380e+01
2.040000	-1.248760e+01
2.050000	-1.212940e+01
2.060000	-1.174990e+01
2.070000	-1.137820e+01
2.080000	-1.101410e+01
2.090000	-1.065780e+01
2.100000	-1.030920e+01
2.110000	-9.958520e+00
2.120000	-9.620440e+00
2.130000	-9.294990e+00
2.140000	-8.982150e+00
2.150000	-8.681930e+00
2.160000	-8.392960e+00
2.170000	-8.117280e+00
2.180000	-7.854920e+00
2.190000	-7.605860e+00
2.200000	-7.370110e+00
2.210000	-7.150830e+00
2.220000	-6.943270e+00
2.230000	-6.747440e+00
2.240000	-6.563330e+00
2.250000	-6.390950e+00
2.260000	-6.234920e+00
2.270000	-6.088300e+00
2.280000	-5.951080e+00
2.290000	-5.823280e+00
2.300000	-5.704890e+00
2.310000	-5.600270e+00
2.320000	-5.502880e+00
2.330000	-5.412710e+00
2.340000	-5.329770e+00
2.350000	-5.254060e+00
2.360000	-5.189860e+00
2.370000	-5.130740e+00
2.380000	-5.076700e+00
2.390000	-5.027730e+00
2.400000	-4.983840e+00
2.410000	-4.947480e+00
2.420000	-4.914970e+00
2.430000	-4.886310e+00
2.440000	-4.861490e+00
2.450000	-4.840530e+00
2.460000	-4.825810e+00
2.470000	-4.813740e+00
2.480000	-4.804320e+00
2.490000	-4.797560e+00
2.500000	-4.793450e+00
2.510000	-4.793750e+00
2.520000	-4.795830e+00
2.530000	-4.799680e+00
2.540000	-4.805300e+00
2.550000	-4.812690e+00
2.560000	-4.823070e+00
2.570000	-4.834620e+00
2.580000	-4.847330e+00
2.590000	-4.861190e+00
2.600000	-4.876220e+00
2.610000	-4.893320e+00
2.620000	-4.911120e+00
2.630000	-4.929620e+00
2.640000	-4.948830e+00
2.650000	-4.968750e+00
2.660000	-4.990320e+00
2.670000	-5.012120e+00
2.680000	-5.034140e+00
2.690000	-5.056400e+00
2.700000	-5.078880e+00
2.710000	-5.101910e+00
2.720000	-5.125010e+00
2.730000	-5.148170e+00
2.740000	-5.171400e+00
2.750000	-5.194710e+00
2.760000	-5.218570e+00
2.770000	-5.242260e+00
2.780000	-5.265770e+00
2.790000	-5.289090e+00
2.800000	-5.312230e+00
2.810000	-5.335450e+00
