# E(GeV)	-Im_Tmatrix(GeV^-2)
0.000000	-7.537510e-21
0.010000	3.673730e-06
0.020000	7.347470e-06
0.030000	1.102120e-05
0.040000	1.469490e-05
0.050000	1.836870e-05
0.060000	2.274330e-05
0.070000	2.760330e-05
0.080000	3.294870e-05
0.090000	3.877960e-05
0.100000	4.509580e-05
0.110000	5.172470e-05
0.120000	5.892530e-05
0.130000	6.669780e-05
0.140000	7.504220e-05
0.150000	8.395840e-05
0.160000	9.276290e-05
0.170000	1.024810e-04
0.180000	1.131130e-04
0.190000	1.246580e-04
0.200000	1.371170e-04
0.210000	1.500280e-04
0.220000	1.640830e-04
0.230000	1.792830e-04
0.240000	1.956270e-04
0.250000	2.131150e-04
0.260000	2.314250e-04
0.270000	2.510410e-04
0.280000	2.719620e-04
0.290000	2.941890e-04
0.300000	3.177220e-04
0.310000	3.409210e-04
0.320000	3.662460e-04
0.330000	3.936950e-04
0.340000	4.232690e-04
0.350000	4.549690e-04
0.360000	4.872480e-04
0.370000	5.224250e-04
0.380000	5.605000e-04
0.390000	6.014730e-04
0.400000	6.453430e-04
0.410000	6.905340e-04
0.420000	7.394120e-04
0.430000	7.919760e-04
0.440000	8.482270e-04
0.450000	9.081660e-04
0.460000	9.687920e-04
0.470000	1.034600e-03
0.480000	1.105600e-03
0.490000	1.181790e-03
0.500000	1.263160e-03
0.510000	1.344150e-03
0.520000	1.433110e-03
0.530000	1.530040e-03
0.540000	1.634940e-03
0.550000	1.747810e-03
0.560000	1.863720e-03
0.570000	1.990070e-03
0.580000	2.126860e-03
0.590000	2.274100e-03
0.600000	2.431770e-03
0.610000	2.590600e-03
0.620000	2.764530e-03
0.630000	2.953540e-03
0.640000	3.157630e-03
0.650000	3.376820e-03
0.660000	3.596930e-03
0.670000	3.839210e-03
0.680000	4.103670e-03
0.690000	4.390300e-03
0.700000	4.699120e-03
0.710000	5.010320e-03
0.720000	5.353600e-03
0.730000	5.728940e-03
0.740000	6.136360e-03
0.750000	6.575850e-03
0.760000	7.016290e-03
0.770000	7.504360e-03
0.780000	8.040070e-03
0.790000	8.623410e-03
0.800000	9.254380e-03
0.810000	9.889500e-03
0.820000	1.059400e-02
0.830000	1.136790e-02
0.840000	1.221110e-02
0.850000	1.312370e-02
0.860000	1.404000e-02
0.870000	1.505860e-02
0.880000	1.617930e-02
0.890000	1.740240e-02
0.900000	1.872760e-02
0.910000	2.005860e-02
0.920000	2.154010e-02
0.930000	2.317210e-02
0.940000	2.495460e-02
0.950000	2.688760e-02
0.960000	2.883490e-02
0.970000	3.100080e-02
0.980000	3.338530e-02
0.990000	3.598830e-02
1.000000	3.880980e-02
1.010000	4.167250e-02
1.020000	4.484240e-02
1.030000	4.831950e-02
1.040000	5.210390e-02
1.050000	5.619540e-02
1.060000	6.038520e-02
1.070000	6.498660e-02
1.080000	6.999980e-02
1.090000	7.542460e-02
1.100000	8.126110e-02
1.110000	8.730200e-02
1.120000	9.385820e-02
1.130000	1.009300e-01
1.140000	1.085170e-01
1.150000	1.166190e-01
1.160000	1.250850e-01
1.170000	1.341420e-01
1.180000	1.437900e-01
1.190000	1.540290e-01
1.200000	1.648590e-01
1.210000	1.762220e-01
1.220000	1.882050e-01
1.230000	2.008080e-01
1.240000	2.140310e-01
1.250000	2.278740e-01
1.260000	2.423840e-01
1.270000	2.574900e-01
1.280000	2.731930e-01
1.290000	2.894920e-01
1.300000	3.063870e-01
1.310000	3.240100e-01
1.320000	3.421640e-01
1.330000	3.608480e-01
1.340000	3.800640e-01
1.350000	3.998100e-01
1.360000	4.202830e-01
1.370000	4.411900e-01
1.380000	4.625280e-01
1.390000	4.843000e-01
1.400000	5.065050e-01
1.410000	5.293930e-01
1.420000	5.525890e-01
1.430000	5.760920e-01
1.440000	5.999020e-01
1.450000	6.240180e-01
1.460000	6.487320e-01
1.470000	6.736080e-01
1.480000	6.986460e-01
1.490000	7.238450e-01
1.500000	7.492060e-01
1.510000	7.750440e-01
1.520000	8.008860e-01
1.530000	8.267320e-01
1.540000	8.525840e-01
1.550000	8.784400e-01
1.560000	9.046370e-01
1.570000	9.306700e-01
1.580000	9.565400e-01
1.590000	9.822470e-01
1.600000	1.007790e+00
1.610000	1.033480e+00
1.620000	1.058850e+00
1.630000	1.083900e+00
1.640000	1.108630e+00
1.650000	1.133050e+00
1.660000	1.157440e+00
1.670000	1.181360e+00
1.680000	1.204820e+00
1.690000	1.227810e+00
1.700000	1.250340e+00
1.710000	1.272630e+00
1.720000	1.294340e+00
1.730000	1.315460e+00
1.740000	1.335990e+00
1.750000	1.355940e+00
1.760000	1.375480e+00
1.770000	1.394350e+00
1.780000	1.412540e+00
1.790000	1.430050e+00
1.800000	1.446900e+00
1.810000	1.463180e+00
1.820000	1.478730e+00
1.830000	1.493550e+00
1.840000	1.507650e+00
1.850000	1.521010e+00
1.860000	1.533660e+00
1.870000	1.545580e+00
1.880000	1.556740e+00
1.890000	1.567160e+00
1.900000	1.576840e+00
1.910000	1.585730e+00
1.920000	1.593900e+00
1.930000	1.601340e+00
1.940000	1.608050e+00
1.950000	1.614040e+00
1.960000	1.619230e+00
1.970000	1.623730e+00
1.980000	1.627540e+00
1.990000	1.630680e+00
2.000000	1.633130e+00
2.010000	1.634780e+00
2.020000	1.635810e+00
2.030000	1.636210e+00
2.040000	1.635990e+00
2.050000	1.635150e+00
2.060000	1.633520e+00
2.070000	1.631350e+00
2.080000	1.628640e+00
2.090000	1.625390e+00
2.100000	1.621610e+00
2.110000	1.617110e+00
2.120000	1.612170e+00
2.130000	1.606760e+00
2.140000	1.600900e+00
2.150000	1.594580e+00
2.160000	1.587630e+00
