# E(GeV)	Re_Tmatrix(GeV^-2)
0.000000	-3.845090e+00
0.010000	-3.846870e+00
0.020000	-3.848650e+00
0.030000	-3.850430e+00
0.040000	-3.852220e+00
0.050000	-3.854000e+00
0.060000	-3.855430e+00
0.070000	-3.856970e+00
0.080000	-3.858630e+00
0.090000	-3.860400e+00
0.100000	-3.862280e+00
0.110000	-3.864540e+00
0.120000	-3.866780e+00
0.130000	-3.869000e+00
0.140000	-3.871210e+00
0.150000	-3.873380e+00
0.160000	-3.875450e+00
0.170000	-3.877540e+00
0.180000	-3.879650e+00
0.190000	-3.881800e+00
0.200000	-3.883970e+00
0.210000	-3.886160e+00
0.220000	-3.888380e+00
0.230000	-3.890630e+00
0.240000	-3.892920e+00
0.250000	-3.895230e+00
0.260000	-3.897560e+00
0.270000	-3.899930e+00
0.280000	-3.902330e+00
0.290000	-3.904770e+00
0.300000	-3.907240e+00
0.310000	-3.909730e+00
0.320000	-3.912260e+00
0.330000	-3.914830e+00
0.340000	-3.917430e+00
0.350000	-3.920080e+00
0.360000	-3.922750e+00
0.370000	-3.925470e+00
0.380000	-3.928220e+00
0.390000	-3.931020e+00
0.400000	-3.933860e+00
0.410000	-3.936730e+00
0.420000	-3.939650e+00
0.430000	-3.942610e+00
0.440000	-3.945620e+00
0.450000	-3.948690e+00
0.460000	-3.951780e+00
0.470000	-3.954930e+00
0.480000	-3.958140e+00
0.490000	-3.961390e+00
0.500000	-3.964710e+00
0.510000	-3.968070e+00
0.520000	-3.971490e+00
0.530000	-3.974960e+00
0.540000	-3.978500e+00
0.550000	-3.982090e+00
0.560000	-3.985700e+00
0.570000	-3.989390e+00
0.580000	-3.993150e+00
0.590000	-3.997000e+00
0.600000	-4.000930e+00
0.610000	-4.004930e+00
0.620000	-4.009020e+00
0.630000	-4.013180e+00
0.640000	-4.017430e+00
0.650000	-4.021750e+00
0.660000	-4.026130e+00
0.670000	-4.030600e+00
0.680000	-4.035160e+00
0.690000	-4.039820e+00
0.700000	-4.044570e+00
0.710000	-4.049410e+00
0.720000	-4.054350e+00
0.730000	-4.059390e+00
0.740000	-4.064510e+00
0.750000	-4.069730e+00
0.760000	-4.074860e+00
0.770000	-4.080170e+00
0.780000	-4.085670e+00
0.790000	-4.091350e+00
0.800000	-4.097220e+00
0.810000	-4.103390e+00
0.820000	-4.109690e+00
0.830000	-4.116110e+00
0.840000	-4.122670e+00
0.850000	-4.129350e+00
0.860000	-4.136060e+00
0.870000	-4.142950e+00
0.880000	-4.150010e+00
0.890000	-4.157270e+00
0.900000	-4.164700e+00
0.910000	-4.172260e+00
0.920000	-4.180030e+00
0.930000	-4.188010e+00
0.940000	-4.196190e+00
0.950000	-4.204570e+00
0.960000	-4.213130e+00
0.970000	-4.221910e+00
0.980000	-4.230910e+00
0.990000	-4.240130e+00
1.000000	-4.249570e+00
1.010000	-4.259240e+00
1.020000	-4.269130e+00
1.030000	-4.279230e+00
1.040000	-4.289560e+00
1.050000	-4.300100e+00
1.060000	-4.310930e+00
1.070000	-4.321940e+00
1.080000	-4.333140e+00
1.090000	-4.344510e+00
1.100000	-4.356070e+00
1.110000	-4.367980e+00
1.120000	-4.379980e+00
1.130000	-4.392090e+00
1.140000	-4.404290e+00
1.150000	-4.416590e+00
1.160000	-4.429250e+00
1.170000	-4.441880e+00
1.180000	-4.454480e+00
1.190000	-4.467040e+00
1.200000	-4.479580e+00
1.210000	-4.492400e+00
1.220000	-4.505030e+00
1.230000	-4.517480e+00
1.240000	-4.529740e+00
1.250000	-4.541810e+00
1.260000	-4.554020e+00
1.270000	-4.565880e+00
1.280000	-4.577400e+00
1.290000	-4.588570e+00
1.300000	-4.599390e+00
1.310000	-4.610150e+00
1.320000	-4.620430e+00
1.330000	-4.630210e+00
1.340000	-4.639510e+00
1.350000	-4.648320e+00
1.360000	-4.656880e+00
1.370000	-4.664840e+00
1.380000	-4.672170e+00
1.390000	-4.678900e+00
1.400000	-4.685000e+00
1.410000	-4.690690e+00
1.420000	-4.695660e+00
1.430000	-4.699930e+00
1.440000	-4.703470e+00
1.450000	-4.706310e+00
1.460000	-4.708570e+00
1.470000	-4.710050e+00
1.480000	-4.710740e+00
1.490000	-4.710660e+00
1.500000	-4.709800e+00
1.510000	-4.708220e+00
1.520000	-4.705830e+00
1.530000	-4.702620e+00
1.540000	-4.698600e+00
1.550000	-4.693770e+00
1.560000	-4.688130e+00
1.570000	-4.681680e+00
1.580000	-4.674410e+00
1.590000	-4.666330e+00
1.600000	-4.657440e+00
1.610000	-4.647640e+00
1.620000	-4.637070e+00
1.630000	-4.625730e+00
1.640000	-4.613630e+00
1.650000	-4.600760e+00
1.660000	-4.586980e+00
1.670000	-4.572510e+00
1.680000	-4.557340e+00
1.690000	-4.541490e+00
1.700000	-4.524950e+00
1.710000	-4.507480e+00
1.720000	-4.489440e+00
1.730000	-4.470830e+00
1.740000	-4.451640e+00
1.750000	-4.431870e+00
1.760000	-4.411270e+00
1.770000	-4.390230e+00
1.780000	-4.368730e+00
1.790000	-4.346790e+00
1.800000	-4.324400e+00
1.810000	-4.301260e+00
1.820000	-4.277820e+00
1.830000	-4.254080e+00
1.840000	-4.230040e+00
1.850000	-4.205700e+00
1.860000	-4.180780e+00
1.870000	-4.155690e+00
1.880000	-4.130460e+00
1.890000	-4.105070e+00
1.900000	-4.079530e+00
1.910000	-4.053560e+00
1.920000	-4.027570e+00
1.930000	-4.001580e+00
1.940000	-3.975570e+00
1.950000	-3.949550e+00
1.960000	-3.923290e+00
1.970000	-3.897140e+00
1.980000	-3.871090e+00
1.990000	-3.845140e+00
2.000000	-3.819300e+00
2.010000	-3.793330e+00
2.020000	-3.767570e+00
2.030000	-3.742030e+00
2.040000	-3.716710e+00
2.050000	-3.691600e+00
2.060000	-3.666550e+00
2.070000	-3.641790e+00
2.080000	-3.617320e+00
2.090000	-3.593150e+00
2.100000	-3.569260e+00
2.110000	-3.545550e+00
2.120000	-3.522190e+00
2.130000	-3.499180e+00
2.140000	-3.476520e+00
2.150000	-3.454210e+00
2.160000	-3.432180e+00
2.170000	-3.410540e+00
2.180000	-3.389280e+00
2.190000	-3.368400e+00
2.200000	-3.347910e+00
2.210000	-3.327770e+00
2.220000	-3.308040e+00
2.230000	-3.288710e+00
2.240000	-3.269790e+00
2.250000	-3.251270e+00
2.260000	-3.233160e+00
2.270000	-3.215450e+00
2.280000	-3.198150e+00
2.290000	-3.181250e+00
2.300000	-3.164770e+00
2.310000	-3.148700e+00
2.320000	-3.133040e+00
2.330000	-3.117770e+00
2.340000	-3.102900e+00
2.350000	-3.088430e+00
2.360000	-3.074380e+00
2.370000	-3.060720e+00
2.380000	-3.047440e+00
2.390000	-3.034540e+00
2.400000	-3.022020e+00
2.410000	-3.009920e+00
2.420000	-2.998190e+00
2.430000	-2.986810e+00
2.440000	-2.975790e+00
2.450000	-2.965120e+00
2.460000	-2.954860e+00
2.470000	-2.944930e+00
2.480000	-2.935340e+00
2.490000	-2.926080e+00
