# omega(GeV)	rho(GeV^-1)
-1.000000	4.555163e-95
-0.950000	1.275493e-93
-0.900000	3.572016e-92
-0.850000	1.000485e-90
-0.800000	2.802663e-89
-0.750000	7.852274e-88
-0.700000	2.200317e-86
-0.650000	6.166542e-85
-0.600000	1.728486e-83
-0.550000	4.845726e-82
-0.500000	1.358696e-80
-0.450000	3.810281e-79
-0.400000	1.068722e-77
-0.350000	2.998105e-76
-0.300000	8.412102e-75
-0.250000	2.360693e-73
-0.200000	6.626024e-72
-0.150000	1.860145e-70
-0.100000	5.223031e-69
-0.050000	1.466837e-67
0.000000	4.120277e-66
0.050000	1.157598e-64
0.100000	3.252956e-63
0.150000	9.143011e-62
0.200000	2.570354e-60
0.250000	7.227555e-59
0.300000	2.032762e-57
0.350000	5.718480e-56
0.400000	1.609073e-54
0.450000	4.528710e-53
0.500000	1.274908e-51
0.550000	3.589978e-50
0.600000	1.011150e-48
0.650000	2.848740e-47
0.700000	8.027982e-46
0.750000	2.262972e-44
0.800000	6.380786e-43
0.850000	1.799677e-41
0.900000	5.077423e-40
0.950000	1.432927e-38
1.000000	4.045203e-37
1.050000	1.142341e-35
1.100000	3.226962e-34
1.150000	9.118828e-33
1.200000	2.577717e-31
1.250000	7.289320e-30
1.300000	2.062048e-28
1.350000	5.835465e-27
1.400000	1.652045e-25
1.450000	4.678900e-24
1.500000	1.325703e-22
1.550000	3.757816e-21
1.600000	1.065657e-19
1.650000	3.023423e-18
1.700000	8.581960e-17
1.750000	2.437181e-15
1.800000	6.924849e-14
1.850000	1.968623e-12
1.900000	5.599549e-11
1.950000	1.593644e-09
2.000000	1.098315e-08
2.050000	1.578203e-08
2.100000	2.271717e-08
2.150000	3.261327e-08
2.200000	4.651901e-08
2.250000	6.568599e-08
2.300000	9.188797e-08
2.350000	1.280607e-07
2.450000	2.527422e-07
2.500000	3.609730e-07
2.550000	5.203731e-07
2.600000	7.542997e-07
2.650000	1.093803e-06
2.700000	1.577744e-06
2.750000	2.255753e-06
2.800000	3.209046e-06
2.850000	4.574067e-06
2.900000	6.559505e-06
2.950000	9.431170e-06
3.000000	1.348266e-05
3.050000	1.909541e-05
3.100000	2.689781e-05
3.150000	3.803280e-05
3.200000	5.436577e-05
3.250000	7.868257e-05
3.300000	1.147619e-04
3.350000	1.673454e-04
3.400000	2.412262e-04
3.450000	2.804083e-04
3.500000	3.865964e-04
3.550000	5.309495e-04
3.600000	7.289107e-04
3.650000	1.003575e-03
3.700000	1.388495e-03
3.750000	1.942993e-03
3.800000	2.704957e-03
3.850000	3.854108e-03
3.900000	5.387368e-03
3.950000	7.567766e-03
4.000000	1.063578e-02
4.050000	1.498306e-02
4.100000	2.115381e-02
4.150000	2.997243e-02
4.200000	4.259291e-02
4.250000	6.058981e-02
4.300000	8.617651e-02
4.350000	1.224430e-01
4.400000	1.728548e-01
4.450000	2.409154e-01
4.500000	3.288744e-01
4.550000	4.341081e-01
4.600000	5.505233e-01
4.650000	6.646064e-01
4.700000	7.643204e-01
4.750000	8.356983e-01
4.800000	8.884407e-01
4.850000	9.243857e-01
4.900000	9.494680e-01
4.950000	9.643627e-01
5.000000	9.753325e-01
5.050000	9.854016e-01
5.100000	9.840227e-01
5.150000	9.767584e-01
5.200000	9.565872e-01
5.250000	9.202492e-01
5.300000	8.657053e-01
5.350000	7.951488e-01
5.400000	7.110219e-01
5.450000	6.205148e-01
5.500000	5.303284e-01
5.550000	4.452117e-01
5.600000	3.694133e-01
5.650000	3.038872e-01
5.700000	2.487383e-01
5.750000	2.029015e-01
5.800000	1.655716e-01
5.850000	1.354161e-01
5.900000	1.109505e-01
5.950000	9.135195e-02
6.000000	7.539860e-02
6.050000	6.241747e-02
6.100000	5.185433e-02
6.150000	4.323032e-02
6.200000	3.616604e-02
6.250000	3.037210e-02
6.300000	2.555861e-02
6.350000	2.156965e-02
6.400000	1.823087e-02
6.450000	1.545534e-02
6.500000	1.313055e-02
6.550000	1.116425e-02
6.600000	9.524686e-03
6.650000	8.131714e-03
6.700000	6.952121e-03
6.750000	5.949825e-03
6.800000	5.096850e-03
6.850000	4.352388e-03
6.900000	3.731716e-03
6.950000	3.203601e-03
7.000000	2.751760e-03
7.050000	2.364941e-03
7.100000	2.033639e-03
7.150000	1.750138e-03
7.200000	1.506314e-03
7.250000	1.306317e-03
7.300000	1.125028e-03
7.350000	9.700898e-04
7.400000	8.370898e-04
7.450000	7.217514e-04
7.500000	6.236229e-04
7.550000	5.417874e-04
7.600000	4.627537e-04
7.650000	4.063390e-04
7.700000	3.478010e-04
7.750000	3.015620e-04
7.800000	2.622054e-04
7.850000	2.283017e-04
7.900000	1.990713e-04
7.950000	1.767339e-04
8.000000	1.545670e-04
