# omega(GeV)	rho(GeV^-1)
-1.000000	7.272140e-06
-0.995000	7.414640e-06
-0.990000	7.558250e-06
-0.985000	7.702970e-06
-0.980000	7.848810e-06
-0.975000	7.995790e-06
-0.970000	8.143920e-06
-0.965000	8.293190e-06
-0.960000	8.443640e-06
-0.955000	8.595260e-06
-0.950000	8.748060e-06
-0.945000	8.917620e-06
-0.940000	9.091550e-06
-0.935000	9.269900e-06
-0.930000	9.452710e-06
-0.925000	9.640050e-06
-0.920000	9.831950e-06
-0.915000	1.002850e-05
-0.910000	1.022970e-05
-0.905000	1.043560e-05
-0.900000	1.064640e-05
-0.895000	1.085750e-05
-0.890000	1.107440e-05
-0.885000	1.129730e-05
-0.880000	1.152620e-05
-0.875000	1.176110e-05
-0.870000	1.200230e-05
-0.865000	1.224960e-05
-0.860000	1.250320e-05
-0.855000	1.276320e-05
-0.850000	1.302970e-05
-0.845000	1.330100e-05
-0.840000	1.357940e-05
-0.835000	1.386470e-05
-0.830000	1.415720e-05
-0.825000	1.445680e-05
-0.820000	1.476380e-05
-0.815000	1.507810e-05
-0.810000	1.539990e-05
-0.805000	1.572930e-05
-0.800000	1.606630e-05
-0.795000	1.640440e-05
-0.790000	1.675180e-05
-0.785000	1.710850e-05
-0.780000	1.747480e-05
-0.775000	1.785060e-05
-0.770000	1.823620e-05
-0.765000	1.863160e-05
-0.760000	1.903710e-05
-0.755000	1.945260e-05
-0.750000	1.987830e-05
-0.745000	2.032040e-05
-0.740000	2.077160e-05
-0.735000	2.123220e-05
-0.730000	2.170220e-05
-0.725000	2.218170e-05
-0.720000	2.267090e-05
-0.715000	2.316990e-05
-0.710000	2.367880e-05
-0.705000	2.419770e-05
-0.700000	2.472680e-05
-0.695000	2.527510e-05
-0.690000	2.583180e-05
-0.685000	2.639720e-05
-0.680000	2.697130e-05
-0.675000	2.755430e-05
-0.670000	2.814620e-05
-0.665000	2.874710e-05
-0.660000	2.935720e-05
-0.655000	2.997660e-05
-0.650000	3.060530e-05
-0.645000	3.124870e-05
-0.640000	3.190050e-05
-0.635000	3.256100e-05
-0.630000	3.323020e-05
-0.625000	3.390830e-05
-0.620000	3.459530e-05
-0.615000	3.529130e-05
-0.610000	3.599640e-05
-0.605000	3.671080e-05
-0.600000	3.743460e-05
-0.595000	3.818600e-05
-0.590000	3.894300e-05
-0.585000	3.970590e-05
-0.580000	4.047460e-05
-0.575000	4.124920e-05
-0.570000	4.202990e-05
-0.565000	4.281650e-05
-0.560000	4.360930e-05
-0.555000	4.440820e-05
-0.550000	4.521340e-05
-0.545000	4.647780e-05
-0.540000	4.765200e-05
-0.535000	4.873460e-05
-0.530000	4.972410e-05
-0.525000	5.061910e-05
-0.520000	5.141810e-05
-0.515000	5.211950e-05
-0.510000	5.272190e-05
-0.505000	5.322360e-05
-0.500000	5.362310e-05
-0.495000	5.280980e-05
-0.490000	5.212720e-05
