# omega(GeV)	rho(GeV^-1)
-1.000000	2.008560e-04
-0.995000	1.813370e-04
-0.990000	1.616920e-04
-0.985000	1.419200e-04
-0.980000	1.220210e-04
-0.975000	1.019930e-04
-0.970000	8.183570e-05
-0.965000	6.154780e-05
-0.960000	4.112860e-05
-0.955000	2.057710e-05
-0.950000	-1.077090e-07
-0.945000	-1.607440e-05
-0.940000	-3.161770e-05
-0.935000	-4.673110e-05
-0.930000	-6.140800e-05
-0.925000	-7.564190e-05
-0.920000	-8.942600e-05
-0.915000	-1.027530e-04
-0.910000	-1.156170e-04
-0.905000	-1.280100e-04
-0.900000	-1.399240e-04
-0.895000	-1.493260e-04
-0.890000	-1.586680e-04
-0.885000	-1.679480e-04
-0.880000	-1.771650e-04
-0.875000	-1.863180e-04
-0.870000	-1.954050e-04
-0.865000	-2.044250e-04
-0.860000	-2.133770e-04
-0.855000	-2.222590e-04
-0.850000	-2.310700e-04
-0.845000	-2.403670e-04
-0.840000	-2.494710e-04
-0.835000	-2.583780e-04
-0.830000	-2.670850e-04
-0.825000	-2.755890e-04
-0.820000	-2.838860e-04
-0.815000	-2.919730e-04
-0.810000	-2.998470e-04
-0.805000	-3.075050e-04
-0.800000	-3.149410e-04
-0.795000	-3.244390e-04
-0.790000	-3.332250e-04
-0.785000	-3.412850e-04
-0.780000	-3.486080e-04
-0.775000	-3.551800e-04
-0.770000	-3.609890e-04
-0.765000	-3.660220e-04
-0.760000	-3.702650e-04
-0.755000	-3.737060e-04
-0.750000	-3.763300e-04
-0.745000	-3.681080e-04
-0.740000	-3.611720e-04
-0.735000	-3.555430e-04
-0.730000	-3.512400e-04
-0.725000	-3.482870e-04
-0.720000	-3.467050e-04
-0.715000	-3.465170e-04
-0.710000	-3.477480e-04
-0.705000	-3.504190e-04
-0.700000	-3.545580e-04
-0.695000	-3.893670e-04
-0.690000	-4.195190e-04
-0.685000	-4.449270e-04
-0.680000	-4.655030e-04
-0.675000	-4.811610e-04
-0.670000	-4.918090e-04
-0.665000	-4.973580e-04
-0.660000	-4.977160e-04
-0.655000	-4.927890e-04
-0.650000	-4.824830e-04
-0.645000	-4.229170e-04
-0.640000	-3.670290e-04
-0.635000	-3.149000e-04
-0.630000	-2.666100e-04
-0.625000	-2.222400e-04
-0.620000	-1.818700e-04
-0.615000	-1.455830e-04
-0.610000	-1.134570e-04
-0.605000	-8.557450e-05
-0.600000	-6.201580e-05
-0.595000	-4.394730e-05
-0.590000	-3.014640e-05
-0.585000	-2.067940e-05
-0.580000	-1.561490e-05
-0.575000	-1.502470e-05
-0.570000	-1.898300e-05
-0.565000	-2.756690e-05
-0.560000	-4.085650e-05
-0.555000	-5.893510e-05
-0.550000	-8.188880e-05
-0.545000	-1.522660e-04
-0.540000	-2.187270e-04
-0.535000	-2.812060e-04
-0.530000	-3.396350e-04
-0.525000	-3.939430e-04
-0.520000	-4.440580e-04
-0.515000	-4.899030e-04
-0.510000	-5.313990e-04
-0.505000	-5.684650e-04
-0.500000	-6.010160e-04
-0.495000	-6.259240e-04
-0.490000	-6.467900e-04
-0.485000	-6.635230e-04
-0.480000	-6.760330e-04
-0.475000	-6.842240e-04
-0.470000	-6.880040e-04
-0.465000	-6.872780e-04
-0.460000	-6.819500e-04
-0.455000	-6.719230e-04
-0.450000	-6.571020e-04
-0.445000	-5.949050e-04
-0.440000	-5.366360e-04
-0.435000	-4.823880e-04
-0.430000	-4.322560e-04
-0.425000	-3.863360e-04
-0.420000	-3.447230e-04
-0.415000	-3.075160e-04
-0.410000	-2.748110e-04
-0.405000	-2.467100e-04
-0.400000	-2.233100e-04
-0.395000	-2.089090e-04
-0.390000	-1.985410e-04
-0.385000	-1.922810e-04
-0.380000	-1.902110e-04
-0.375000	-1.924120e-04
-0.370000	-1.989710e-04
-0.365000	-2.099760e-04
-0.360000	-2.255210e-04
-0.355000	-2.457010e-04
-0.350000	-2.706160e-04
-0.345000	-3.455480e-04
-0.340000	-4.159810e-04
-0.335000	-4.818180e-04
-0.330000	-5.429580e-04
-0.325000	-5.992940e-04
-0.320000	-6.507200e-04
-0.315000	-6.971230e-04
-0.310000	-7.383880e-04
-0.305000	-7.743960e-04
-0.300000	-8.050230e-04
-0.295000	-8.050220e-04
-0.290000	-8.046060e-04
-0.285000	-8.037650e-04
-0.280000	-8.024900e-04
-0.275000	-8.007690e-04
-0.270000	-7.985930e-04
-0.265000	-7.959510e-04
-0.260000	-7.928320e-04
-0.255000	-7.892260e-04
-0.250000	-7.851200e-04
-0.245000	-7.696110e-04
-0.240000	-7.558530e-04
-0.235000	-7.438850e-04
-0.230000	-7.337520e-04
-0.225000	-7.254970e-04
-0.220000	-7.191670e-04
-0.215000	-7.148080e-04
-0.210000	-7.124700e-04
-0.205000	-7.122040e-04
-0.200000	-7.140630e-04
-0.195000	-7.503450e-04
-0.190000	-7.822080e-04
-0.185000	-8.095310e-04
-0.180000	-8.321870e-04
-0.175000	-8.500480e-04
-0.170000	-8.629800e-04
-0.165000	-8.708460e-04
-0.160000	-8.735070e-04
-0.155000	-8.708160e-04
-0.150000	-8.626270e-04
-0.145000	-8.123890e-04
-0.140000	-7.638190e-04
-0.135000	-7.169740e-04
-0.130000	-6.719090e-04
-0.125000	-6.286840e-04
-0.120000	-5.873580e-04
-0.115000	-5.479940e-04
-0.110000	-5.106540e-04
-0.105000	-4.754050e-04
-0.100000	-4.423120e-04
-0.095000	-4.245480e-04
-0.090000	-4.064060e-04
-0.085000	-3.878730e-04
-0.080000	-3.689380e-04
-0.075000	-3.495900e-04
-0.070000	-3.298150e-04
-0.065000	-3.096010e-04
-0.060000	-2.889330e-04
-0.055000	-2.678000e-04
-0.050000	-2.461850e-04
-0.045000	-2.322350e-04
-0.040000	-2.161120e-04
-0.035000	-1.977470e-04
-0.030000	-1.770670e-04
-0.025000	-1.540000e-04
-0.020000	-1.284660e-04
-0.015000	-1.003850e-04
-0.010000	-6.967220e-05
-0.005000	-3.624110e-05
0.000000	3.418230e-20
0.005000	5.036780e-06
0.010000	1.995580e-05
0.015000	4.510520e-05
0.020000	8.084710e-05
0.025000	1.275580e-04
0.030000	1.856320e-04
0.035000	2.554750e-04
0.040000	3.375140e-04
0.045000	4.321910e-04
0.050000	5.399690e-04
0.055000	6.971820e-04
0.060000	8.613440e-04
0.065000	1.032690e-03
0.070000	1.211460e-03
0.075000	1.397910e-03
0.080000	1.592300e-03
0.085000	1.794900e-03
0.090000	2.005990e-03
0.095000	2.225860e-03
0.100000	2.454820e-03
0.105000	2.664620e-03
0.110000	2.889750e-03
0.115000	3.130830e-03
0.120000	3.388460e-03
0.125000	3.663300e-03
0.130000	3.956030e-03
0.135000	4.267370e-03
0.140000	4.598060e-03
0.145000	4.948870e-03
0.150000	5.320630e-03
0.155000	5.715440e-03
0.160000	6.132820e-03
0.165000	6.573650e-03
0.170000	7.038870e-03
0.175000	7.529460e-03
0.180000	8.046430e-03
0.185000	8.590830e-03
0.190000	9.163790e-03
0.195000	9.766460e-03
0.200000	1.040000e-02
0.205000	1.107590e-02
