# omega(GeV)	rho(GeV^-1)
-1.000000	-9.042190e-04
-0.995000	-8.607990e-04
-0.990000	-8.159550e-04
-0.985000	-7.696360e-04
-0.980000	-7.217890e-04
-0.975000	-6.723600e-04
-0.970000	-6.212910e-04
-0.965000	-5.685250e-04
-0.960000	-5.139980e-04
-0.955000	-4.576460e-04
-0.950000	-3.994030e-04
-0.945000	-3.403090e-04
-0.940000	-2.809780e-04
-0.935000	-2.214150e-04
-0.930000	-1.616220e-04
-0.925000	-1.016040e-04
-0.920000	-4.136470e-05
-0.915000	1.909170e-05
-0.910000	7.976090e-05
-0.905000	1.406380e-04
-0.900000	2.017190e-04
-0.895000	2.628770e-04
-0.890000	3.242470e-04
-0.885000	3.858270e-04
-0.880000	4.476150e-04
-0.875000	5.096080e-04
-0.870000	5.718040e-04
-0.865000	6.342000e-04
-0.860000	6.967950e-04
-0.855000	7.595840e-04
-0.850000	8.225660e-04
-0.845000	8.825710e-04
-0.840000	9.434180e-04
-0.835000	1.005120e-03
-0.830000	1.067690e-03
-0.825000	1.131140e-03
-0.820000	1.195500e-03
-0.815000	1.260760e-03
-0.810000	1.326960e-03
-0.805000	1.394100e-03
-0.800000	1.462200e-03
-0.795000	1.540820e-03
-0.790000	1.618470e-03
-0.785000	1.695100e-03
-0.780000	1.770680e-03
-0.775000	1.845180e-03
-0.770000	1.918550e-03
-0.765000	1.990740e-03
-0.760000	2.061730e-03
-0.755000	2.131460e-03
-0.750000	2.199880e-03
-0.745000	2.251140e-03
-0.740000	2.304230e-03
-0.735000	2.359220e-03
-0.730000	2.416150e-03
-0.725000	2.475070e-03
-0.720000	2.536030e-03
-0.715000	2.599090e-03
-0.710000	2.664300e-03
-0.705000	2.731720e-03
-0.700000	2.801400e-03
-0.695000	2.882050e-03
-0.690000	2.963330e-03
-0.685000	3.045270e-03
-0.680000	3.127850e-03
-0.675000	3.211090e-03
-0.670000	3.294990e-03
-0.665000	3.379560e-03
-0.660000	3.464800e-03
-0.655000	3.550720e-03
-0.650000	3.637330e-03
-0.645000	3.728950e-03
-0.640000	3.820380e-03
-0.635000	3.911590e-03
-0.630000	4.002570e-03
-0.625000	4.093290e-03
-0.620000	4.183730e-03
-0.615000	4.273880e-03
-0.610000	4.363700e-03
-0.605000	4.453170e-03
-0.600000	4.542270e-03
-0.595000	4.615280e-03
-0.590000	4.691020e-03
-0.585000	4.769590e-03
-0.580000	4.851070e-03
-0.575000	4.935550e-03
-0.570000	5.023120e-03
-0.565000	5.113880e-03
-0.560000	5.207920e-03
-0.555000	5.305360e-03
-0.550000	5.406280e-03
-0.545000	5.511710e-03
-0.540000	5.620690e-03
-0.535000	5.733320e-03
-0.530000	5.849710e-03
-0.525000	5.969990e-03
-0.520000	6.094270e-03
-0.515000	6.222680e-03
-0.510000	6.355360e-03
-0.505000	6.492430e-03
-0.500000	6.634030e-03
-0.495000	6.786630e-03
-0.490000	6.942800e-03
-0.485000	7.102660e-03
-0.480000	7.266300e-03
-0.475000	7.433860e-03
-0.470000	7.605450e-03
-0.465000	7.781180e-03
-0.460000	7.961210e-03
-0.455000	8.145650e-03
-0.450000	8.334640e-03
-0.445000	8.514130e-03
-0.440000	8.701260e-03
-0.435000	8.896320e-03
-0.430000	9.099590e-03
-0.425000	9.311400e-03
-0.420000	9.532060e-03
-0.415000	9.761900e-03
-0.410000	1.000130e-02
-0.405000	1.025060e-02
-0.400000	1.051010e-02
-0.395000	1.078290e-02
-0.390000	1.106640e-02
-0.385000	1.136080e-02
-0.380000	1.166670e-02
-0.375000	1.198450e-02
-0.370000	1.231470e-02
-0.365000	1.265770e-02
-0.360000	1.301410e-02
-0.355000	1.338430e-02
-0.350000	1.376900e-02
-0.345000	1.418020e-02
-0.340000	1.460480e-02
-0.335000	1.504340e-02
