# omega(GeV)	rho(GeV^-1)
-1.000000	1.276047e-95
-0.950000	3.647545e-94
-0.900000	1.042788e-92
-0.850000	2.981628e-91
-0.800000	8.526567e-90
-0.750000	2.438706e-88
-0.700000	6.976062e-87
-0.650000	1.995850e-85
-0.600000	5.711019e-84
-0.550000	1.634438e-82
-0.500000	4.678363e-81
-0.450000	1.339341e-79
-0.400000	3.834966e-78
-0.350000	1.098263e-76
-0.300000	3.145774e-75
-0.250000	9.012100e-74
-0.200000	2.582281e-72
-0.150000	7.400510e-71
-0.100000	2.121299e-69
-0.050000	6.081717e-68
0.000000	1.743958e-66
0.050000	5.001879e-65
0.100000	1.434893e-63
0.150000	4.117154e-62
0.200000	1.181592e-60
0.250000	3.391824e-59
0.300000	9.738593e-58
0.350000	2.796781e-56
0.400000	8.033822e-55
0.450000	2.308288e-53
0.500000	6.633824e-52
0.550000	1.906983e-50
0.600000	5.483288e-49
0.650000	1.577064e-47
0.700000	4.537061e-46
0.750000	1.305628e-44
0.800000	3.758264e-43
0.850000	1.082134e-41
0.900000	3.116762e-40
0.950000	8.979642e-39
1.000000	2.587917e-37
1.050000	7.460735e-36
1.100000	2.151575e-34
1.150000	6.206960e-33
1.200000	1.791238e-31
1.250000	5.171111e-30
1.300000	1.493397e-28
1.350000	4.314519e-27
1.400000	1.246983e-25
1.450000	3.605491e-24
1.500000	1.042918e-22
1.550000	3.018030e-21
1.600000	8.737574e-20
1.650000	2.530805e-18
1.700000	7.333879e-17
1.750000	2.126296e-15
1.800000	6.167884e-14
1.850000	1.790110e-12
1.900000	5.198318e-11
1.950000	1.510412e-09
2.000000	9.224202e-09
2.050000	1.326843e-08
2.100000	1.915908e-08
2.150000	2.764941e-08
2.200000	3.954107e-08
2.250000	5.586640e-08
2.300000	7.793385e-08
2.350000	1.082058e-07
2.450000	2.144015e-07
2.500000	3.090437e-07
2.550000	4.501227e-07
2.600000	6.593725e-07
2.650000	9.612431e-07
2.700000	1.380302e-06
2.750000	1.945656e-06
2.800000	2.712115e-06
2.850000	3.797097e-06
2.900000	5.408075e-06
2.950000	7.812340e-06
3.000000	1.126817e-05
3.050000	1.609311e-05
3.100000	2.285137e-05
3.150000	3.265039e-05
3.200000	4.730558e-05
3.250000	6.942502e-05
3.300000	1.027144e-04
3.350000	1.516170e-04
3.400000	2.203405e-04
3.450000	3.106511e-04
3.500000	3.451329e-04
3.550000	4.758735e-04
3.600000	6.540596e-04
3.650000	9.024098e-04
3.700000	1.265103e-03
3.750000	1.754205e-03
3.800000	2.558997e-03
3.850000	3.596423e-03
3.900000	5.068619e-03
3.950000	7.144991e-03
4.000000	1.007891e-02
4.050000	1.422592e-02
4.100000	2.027256e-02
4.150000	2.854005e-02
4.200000	4.063963e-02
4.250000	5.799058e-02
4.300000	8.281278e-02
4.350000	1.181872e-01
4.400000	1.679790e-01
4.450000	2.359576e-01
4.500000	3.250772e-01
4.550000	4.352387e-01
4.600000	5.586453e-01
4.650000	6.832948e-01
4.700000	7.932933e-01
4.750000	8.804573e-01
4.800000	9.414351e-01
4.850000	9.877431e-01
4.900000	1.011922e+00
4.950000	1.027885e+00
5.000000	1.036827e+00
5.050000	1.037487e+00
5.100000	1.027456e+00
5.150000	1.003694e+00
5.200000	9.637578e-01
5.250000	9.063356e-01
5.300000	8.328489e-01
5.350000	7.459562e-01
5.400000	6.530709e-01
5.450000	5.607027e-01
5.500000	4.734666e-01
5.550000	3.953886e-01
5.600000	3.272679e-01
5.650000	2.697843e-01
5.700000	2.217153e-01
5.750000	1.822829e-01
5.800000	1.496517e-01
5.850000	1.232781e-01
5.900000	1.019015e-01
5.950000	8.449240e-02
6.000000	7.028534e-02
6.050000	5.879335e-02
6.100000	4.926250e-02
6.150000	4.140351e-02
6.200000	3.489635e-02
6.250000	2.949433e-02
6.300000	2.498891e-02
6.350000	2.123358e-02
6.400000	1.798882e-02
6.450000	1.533342e-02
6.500000	1.309738e-02
6.550000	1.120836e-02
6.600000	9.567326e-03
6.650000	8.224591e-03
6.700000	7.064479e-03
6.750000	6.072502e-03
6.800000	5.225503e-03
6.850000	4.500035e-03
6.900000	3.861814e-03
6.950000	3.329018e-03
7.000000	2.880882e-03
7.050000	2.475200e-03
7.100000	2.137355e-03
7.150000	1.846582e-03
7.200000	1.596193e-03
7.250000	1.379365e-03
7.300000	1.193308e-03
7.350000	1.032735e-03
7.400000	9.005658e-04
7.450000	7.694237e-04
7.500000	6.668946e-04
7.550000	5.784551e-04
7.600000	5.020204e-04
7.650000	4.360019e-04
7.700000	3.789246e-04
7.750000	3.296141e-04
7.800000	2.869527e-04
7.850000	2.495020e-04
7.900000	2.176460e-04
7.950000	1.900534e-04
8.000000	1.678403e-04
