# omega(GeV)	rho(GeV^-1)
-1.000000	7.971896e-08
-0.950000	6.343421e-08
-0.900000	5.637795e-08
-0.850000	5.630468e-08
-0.800000	6.223261e-08
-0.750000	7.392586e-08
-0.700000	9.221613e-08
-0.650000	1.177173e-07
-0.600000	1.504290e-07
-0.550000	1.908095e-07
-0.500000	2.428362e-07
-0.450000	3.122543e-07
-0.400000	4.040979e-07
-0.350000	5.253428e-07
-0.300000	6.933967e-07
-0.250000	9.406594e-07
-0.200000	1.323791e-06
-0.150000	1.919756e-06
-0.100000	2.792223e-06
-0.050000	3.874508e-06
0.000000	5.050079e-06
0.050000	6.512147e-06
0.100000	8.808167e-06
0.150000	1.258326e-05
0.200000	1.886262e-05
0.250000	2.977186e-05
0.300000	4.931506e-05
0.350000	7.556505e-05
0.400000	1.118057e-04
0.450000	2.124660e-04
0.500000	2.693685e-04
0.550000	4.132326e-04
0.600000	5.943616e-04
0.650000	9.031838e-04
0.700000	1.638680e-03
0.750000	2.619174e-03
0.800000	4.163506e-03
0.850000	6.650938e-03
0.900000	1.067002e-02
0.950000	1.714730e-02
1.000000	2.763803e-02
1.050000	4.453533e-02
1.100000	7.173705e-02
1.150000	1.147601e-01
1.200000	1.815366e-01
1.250000	2.795807e-01
1.300000	4.120351e-01
1.350000	5.681807e-01
1.400000	7.212004e-01
1.450000	8.451532e-01
1.500000	9.313973e-01
1.550000	9.868740e-01
1.600000	1.027602e+00
1.650000	1.062716e+00
1.700000	1.097369e+00
1.750000	1.129700e+00
1.800000	1.156574e+00
1.850000	1.167572e+00
1.900000	1.154949e+00
1.950000	1.108190e+00
2.000000	1.023887e+00
2.050000	9.078116e-01
2.100000	7.744667e-01
2.150000	6.403793e-01
2.200000	5.170725e-01
2.250000	4.112946e-01
2.300000	3.245315e-01
2.350000	2.551917e-01
2.450000	1.583336e-01
2.500000	1.253122e-01
2.550000	9.954231e-02
2.600000	7.953017e-02
2.650000	6.377891e-02
2.700000	5.135276e-02
2.750000	4.147437e-02
2.800000	3.364381e-02
2.850000	2.738832e-02
2.900000	2.236858e-02
2.950000	1.832246e-02
3.000000	1.505122e-02
3.050000	1.239440e-02
3.100000	1.020236e-02
3.150000	8.430156e-03
3.200000	6.978904e-03
3.250000	5.786380e-03
3.300000	4.806649e-03
3.350000	3.994978e-03
3.400000	3.317912e-03
3.450000	2.771317e-03
3.500000	2.326484e-03
3.550000	1.954559e-03
3.600000	1.654510e-03
3.650000	1.385992e-03
3.700000	1.179292e-03
3.750000	9.911124e-04
3.800000	8.336513e-04
3.850000	7.020010e-04
3.900000	5.917446e-04
3.950000	4.901223e-04
4.000000	4.141258e-04
4.050000	3.503510e-04
4.100000	2.967807e-04
4.150000	2.517450e-04
4.200000	2.138216e-04
4.250000	1.765572e-04
4.300000	1.541585e-04
4.350000	1.294335e-04
4.400000	1.105322e-04
4.450000	9.455395e-05
4.500000	8.102122e-05
4.550000	6.954649e-05
4.600000	5.987653e-05
4.650000	5.167908e-05
4.700000	4.473405e-05
4.750000	3.884605e-05
4.800000	3.382349e-05
4.850000	2.954890e-05
4.900000	2.589931e-05
4.950000	2.278989e-05
5.000000	2.012553e-05
5.050000	1.784203e-05
5.100000	1.588269e-05
5.150000	1.419510e-05
5.200000	1.273895e-05
5.250000	1.147436e-05
5.300000	1.038300e-05
5.350000	9.432135e-06
5.400000	8.601462e-06
5.450000	7.873359e-06
5.500000	7.233615e-06
5.550000	6.668578e-06
5.600000	6.167867e-06
5.650000	5.723361e-06
5.700000	5.326096e-06
5.750000	4.970538e-06
5.800000	4.651312e-06
5.850000	4.363278e-06
5.900000	4.101117e-06
5.950000	3.862133e-06
6.000000	3.633468e-06
6.050000	1.448304e-06
6.100000	5.731538e-07
6.150000	2.268899e-07
6.200000	8.984369e-08
6.250000	3.558647e-08
6.300000	1.409950e-08
6.350000	5.587794e-09
6.400000	2.215093e-09
6.450000	8.783256e-10
6.500000	3.483599e-10
6.550000	1.381997e-10
6.600000	5.483901e-11
6.650000	2.176574e-11
6.700000	8.640841e-12
6.750000	3.431114e-12
6.800000	1.362726e-12
6.850000	5.413452e-13
6.900000	2.150949e-13
6.950000	8.548190e-14
7.000000	3.397853e-14
7.050000	1.350888e-14
7.100000	5.371765e-15
7.150000	2.136464e-15
7.200000	8.498724e-16
7.250000	3.381346e-16
7.300000	1.345556e-16
7.350000	5.355359e-17
7.400000	2.131812e-17
7.450000	8.487525e-18
7.500000	3.379744e-18
7.550000	1.346034e-18
7.600000	5.361620e-19
7.650000	2.136008e-19
7.700000	8.510895e-20
7.750000	3.391658e-20
7.800000	1.351799e-20
7.850000	5.388579e-21
7.900000	2.148313e-21
7.950000	8.566056e-22
8.000000	3.416042e-22
