# omega(GeV)	rho(GeV^-1)
-1.000000	-3.381153e-03
-0.950000	-5.625435e-03
-0.900000	-5.626518e-03
-0.850000	-5.592442e-03
-0.800000	-5.615943e-03
-0.750000	-5.743821e-03
-0.700000	-6.003442e-03
-0.650000	-6.412909e-03
-0.600000	-6.987107e-03
-0.550000	-7.533199e-03
-0.500000	-8.460453e-03
-0.450000	-9.060481e-03
-0.400000	-9.644827e-03
-0.350000	-1.030245e-02
-0.300000	-1.089211e-02
-0.250000	-1.144810e-02
-0.200000	-1.170377e-02
-0.150000	-1.161150e-02
-0.100000	-1.041630e-02
-0.050000	-7.395459e-03
0.000000	6.743247e-17
0.050000	1.761950e-02
0.100000	6.073220e-02
0.150000	1.748356e-01
0.200000	4.795383e-01
0.250000	1.043914e+00
0.300000	1.269441e+00
0.350000	1.042639e+00
0.400000	8.138564e-01
0.450000	6.635385e-01
0.500000	5.665492e-01
0.550000	5.016683e-01
0.600000	4.564671e-01
0.650000	4.238086e-01
0.700000	3.994090e-01
0.750000	3.810659e-01
0.800000	3.669078e-01
0.850000	3.556140e-01
0.900000	3.474932e-01
0.950000	3.412971e-01
1.000000	3.371092e-01
1.050000	3.337508e-01
1.100000	3.316142e-01
1.150000	3.301955e-01
1.200000	3.300905e-01
1.250000	3.298365e-01
1.300000	3.308122e-01
1.350000	3.313102e-01
1.400000	3.325158e-01
1.450000	3.333144e-01
1.500000	3.341680e-01
1.550000	3.346357e-01
1.600000	3.348168e-01
1.650000	3.343173e-01
1.700000	3.329058e-01
1.750000	3.301669e-01
1.800000	3.261878e-01
1.850000	3.207826e-01
1.900000	3.141604e-01
1.950000	3.056913e-01
2.000000	2.957979e-01
2.050000	2.843133e-01
2.100000	2.714919e-01
2.150000	2.574871e-01
2.200000	2.424023e-01
2.250000	2.267696e-01
2.300000	2.108173e-01
2.350000	1.949195e-01
2.450000	1.639218e-01
2.500000	1.493879e-01
2.550000	1.356010e-01
2.600000	1.227469e-01
2.650000	1.108866e-01
2.700000	9.996401e-02
2.750000	8.997572e-02
2.800000	8.088790e-02
2.850000	7.267321e-02
2.900000	6.543406e-02
2.950000	5.859326e-02
3.000000	5.261077e-02
3.050000	4.724410e-02
3.100000	4.244617e-02
3.150000	3.815399e-02
3.200000	3.431509e-02
3.250000	3.088395e-02
3.300000	2.781321e-02
3.350000	2.505780e-02
3.400000	2.259643e-02
3.450000	2.039265e-02
3.500000	1.841744e-02
3.550000	1.664614e-02
3.600000	1.505533e-02
3.650000	1.362606e-02
3.700000	1.233966e-02
3.750000	1.118115e-02
3.800000	1.013729e-02
3.850000	9.195730e-03
3.900000	8.345589e-03
3.950000	7.577651e-03
4.000000	6.883981e-03
4.050000	6.257684e-03
4.100000	5.689853e-03
4.150000	5.174969e-03
4.200000	4.708172e-03
4.250000	4.284712e-03
4.300000	3.900262e-03
4.350000	3.553058e-03
4.400000	3.236019e-03
4.450000	2.947936e-03
4.500000	2.686248e-03
4.550000	2.448329e-03
4.600000	2.232673e-03
4.650000	2.035918e-03
4.700000	1.856587e-03
4.750000	1.693795e-03
4.800000	1.546002e-03
4.850000	1.411262e-03
4.900000	1.288650e-03
4.950000	1.177541e-03
5.000000	1.072551e-03
5.050000	9.737069e-04
5.100000	8.815281e-04
5.150000	7.984776e-04
5.200000	7.236026e-04
5.250000	6.560559e-04
5.300000	5.950833e-04
5.350000	5.400129e-04
5.400000	4.902456e-04
5.450000	4.452464e-04
5.500000	4.045372e-04
5.550000	3.676905e-04
5.600000	3.343237e-04
5.650000	3.040939e-04
5.700000	2.766938e-04
5.750000	2.518476e-04
5.800000	2.293077e-04
5.850000	2.088515e-04
5.900000	1.902790e-04
5.950000	1.734104e-04
6.000000	1.580834e-04
6.050000	1.441521e-04
6.100000	1.314850e-04
6.150000	1.199634e-04
6.200000	1.094801e-04
6.250000	9.993863e-05
6.300000	9.125150e-05
6.350000	8.333981e-05
6.400000	7.613219e-05
6.450000	6.956407e-05
6.500000	6.357701e-05
6.550000	5.811810e-05
6.600000	5.313941e-05
6.650000	4.859749e-05
6.700000	4.445297e-05
6.750000	4.067012e-05
6.800000	3.721654e-05
6.850000	3.406282e-05
6.900000	3.118225e-05
6.950000	2.855057e-05
7.000000	2.614574e-05
7.050000	2.394773e-05
7.100000	2.193833e-05
7.150000	2.010095e-05
7.200000	1.842055e-05
7.250000	1.688339e-05
7.300000	1.547699e-05
7.350000	1.418999e-05
7.400000	1.301202e-05
7.450000	1.193365e-05
7.500000	1.094628e-05
7.550000	1.004208e-05
7.600000	9.213886e-06
7.650000	8.455190e-06
7.700000	7.760041e-06
7.750000	7.123014e-06
7.800000	6.539155e-06
7.850000	6.003943e-06
7.900000	5.513248e-06
7.950000	5.063300e-06
8.000000	4.650654e-06
